SNID	ra	dec	PetroRad_r	u	g	r	i	z	err_u	err_g	err_r	err_i	err_z	redshift
16099	26.4212411707	-1.05458958753	4.104086	21.46013	20.1729	19.16602	18.7595	18.37184	0.1978607	0.03508463	0.02096479	0.02149524	0.05128407	0.1969484
16100	30.436329741	-1.032374812	0.8264415	26.1711	22.81351	22.2105	21.65281	21.74877	0.44904	0.1590817	0.1220144	0.1156779	0.4859869	0.195
16185	16.8681005404	-0.269343622389	1.628755	22.38743	20.68722	19.77323	19.39095	19.06293	0.2335301	0.02973523	0.020231	0.01905633	0.05072315	0.1013589
17168	339.723619133	-1.16723286854	3.044468	21.47048	20.40009	19.83642	19.58957	19.49631	0.2337051	0.04237656	0.03714581	0.04419122	0.1513507	0.1851818
17332	43.7725223539	-0.147688477957	2.629953	21.8895	20.08017	19.02557	18.55308	18.28141	0.3245643	0.03047989	0.02058633	0.02140934	0.06639881	0.1828572
17366	315.784978441	-1.03116435823	5.980696	19.53717	18.05023	17.25018	16.8001	16.56814	0.07977352	0.01075787	0.007299236	0.007414006	0.02084268	0.1392888
17389	323.295060079	-0.960058468237	2.651613	21.73851	20.54003	19.87571	19.49723	19.26836	0.2500954	0.03681113	0.02915151	0.03515209	0.1054045	0.1708999
17497	37.1365006201	-1.04282650842	5.000409	19.86281	18.6871	18.03481	17.7063	17.54852	0.06781603	0.01305952	0.01029424	0.01132474	0.03426053	0.1447343
17568	313.103669107	0.277314761498	3.859739	21.72109	20.35861	19.69447	19.17582	19.04159	0.2510627	0.03270929	0.03614781	0.03385987	0.1169746	0.1445
17629	30.636482371	-1.0899494363	4.705567	19.33454	17.86635	17.01183	16.56474	16.24112	0.04045395	0.007292795	0.005220298	0.005052782	0.01097271	0.1368154
17745	2.96027110315	-0.339348791455	3.829761	20.57786	19.35691	19.13002	18.9081	18.81024	0.1033086	0.0188924	0.02705773	0.02739421	0.1028052	0.06341191
18241	312.387540826	-0.761967394223	2.473871	21.3317	21.11976	19.5841	19.20459	19.583	0.2010471	0.07040887	0.02866432	0.02822022	0.1525065	0.095
18323	3.4286627877	0.652321749237	1.956084	22.94199	21.15197	20.69444	20.25058	20.24566	0.4548156	0.04704316	0.04529073	0.04708305	0.1606883	0.1540543
18375	11.5163981332	-0.0106771298027	2.404521	20.47581	18.99098	18.17496	17.80427	17.52045	0.07583167	0.01052739	0.008178961	0.00816783	0.02106299	0.1105329
18415	337.477514386	1.05846859928	2.987649	20.93438	18.74436	17.63195	17.14851	16.75078	0.1217804	0.01169368	0.006792123	0.006412951	0.01309396	0.130779
18602	338.983657649	0.60908083857	2.267069	22.12222	21.5463	20.86587	20.52316	20.22121	0.2624645	0.07687235	0.06217256	0.07317581	0.1901796	0.1383328
18604	340.92069295	0.420498484315	2.014508	21.70114	19.56483	18.26293	17.76919	17.43394	0.1764625	0.01587499	0.008403083	0.008374461	0.04299584	0.1761
18612	12.2880200749	0.596611969687	5.552385	19.36209	17.75431	16.87933	16.42729	16.13127	0.05254259	0.007894256	0.005710723	0.005834108	0.01222767	0.1148299
18650	328.447231853	0.0150344471961	1.763469	22.08381	21.20931	20.8066	20.49407	20.32584	0.2338015	0.04595681	0.0486057	0.05329907	0.196172	0.1137208
18749	12.5465860314	0.675718424323	3.074872	21.03475	19.18577	17.96521	17.4726	17.13923	0.1377504	0.01476868	0.008328042	0.008570405	0.01953204	0.1906259
18751	5.722428111	0.775911342337	2.714971	20.46334	18.69823	17.85059	17.44166	17.155	0.08408601	0.01044485	0.007650181	0.007958123	0.01749678	0.07101995
18890	16.4433830705	-0.759481450196	7.773663	20.46922	18.59008	17.69711	17.27341	16.96141	0.06620478	0.00904692	0.0066386	0.006366462	0.01236701	0.06646933
19174	25.6597785971	1.03034942218	2.406646	21.10399	19.12536	17.95082	17.5033	17.18132	0.1212514	0.01196737	0.007294704	0.007284707	0.01550478	0.1661271
19282	359.072974014	-0.503881952209	1.046311	24.51901	22.69625	22.15669	21.90885	22.12992	0.9240564	0.1326482	0.1225592	0.1400778	0.5206324	0.18641
19353	43.1132643414	0.251742827414	5.573225	20.3017	19.05205	18.09062	17.59639	17.16113	0.1158758	0.02039983	0.01189691	0.01066807	0.02864648	0.1540343
19543	357.908385724	0.279841654401	1.083588	23.13515	22.05235	21.56426	21.22794	21.07422	0.5016379	0.0726131	0.07144827	0.07240546	0.2535835	0.123
19626	35.9277492207	-0.826465024175	4.950312	19.50961	18.34094	17.76481	17.39554	17.16718	0.05327634	0.01044617	0.009069636	0.009585767	0.02435906	0.1131836
19775	318.956164723	0.651219256748	2.212775	22.37235	20.24576	19.13218	18.59188	18.2387	0.3607558	0.02842434	0.01592627	0.01462633	0.03493028	0.1379
19940	315.393119801	-0.269714640	1.688982	23.22525	21.64424	20.15831	19.56538	19.33935	0.5879621	0.06532733	0.0280775	0.02427609	0.0765544	0.1571
19969	31.9098306358	-0.324044928573	2.538702	20.07896	19.01758	18.42055	18.06198	17.92219	0.05299347	0.01165999	0.01022215	0.01022656	0.03014648	0.1752423
20048	339.308118076	0.736299346268	1.680441	22.45725	20.52277	19.11627	18.56764	18.15082	0.2806341	0.02778204	0.01348696	0.01316107	0.02859662	0.1853194
20064	358.586263268	-0.917233632305	7.011778	19.6151	17.72335	16.69597	16.15476	15.72302	0.08167417	0.008811221	0.005813442	0.00545459	0.0117444	0.1048793
20350	312.806790578	-0.957770215134	4.602063	20.19817	18.10501	16.9264	16.44963	16.00995	0.07965598	0.008790695	0.005432385	0.005259637	0.01080545	0.1293897
20821	55.5723990191	1.06226634879	3.634574	22.40344	20.76072	19.76997	19.16553	18.77378	0.495559	0.04920246	0.02932914	0.0276008	0.07222727	0.1959
