Gupta2011 Table 2
Properties of SN Ia Sample and Host Galaxies

SN ID	IAU	RA	Dec	redshift	redshift uncert	M -	M	M +	Age -	Age	Age +	c	c uncert	x_1	x_1 uncert	HR	HR uncert
17875	2007jz	20.9837265015	1.2550705671	0.23230 	 0.00050	10.50	10.62	10.69	4.49	6.49	7.77	-0.086 	 0.038	0.753 	 0.338	0.1205 	 0.0983	
17884	2007kt	27.5993213654	1.1723767519	0.23900 	 0.00500	10.20	10.24	10.28	4.50	6.02	7.32	-0.147 	 0.036	0.179 	 0.378	-0.0219 	 0.1186	
18091	2007ku	23.3678874969	0.5246205926	0.37160 	 0.00050	11.00	11.03	11.07	4.99	5.14	5.64	-0.189 	 0.070	-0.021 	 0.777	0.1106 	 0.1888	
18241	2007ks	312.3875427246	-0.7619610429	0.09500 	 0.01000	9.42	9.48	9.55	3.71	5.52	7.12	-0.080 	 0.035	-1.273 	 0.195	0.1971 	 0.3543	
18323	2007kx	3.4286384583	0.6523273587	0.15460 	 0.00050	9.32	9.37	9.44	3.61	4.76	6.39	-0.059 	 0.029	-0.270 	 0.284	0.1280 	 0.0778	
18375	2007lg	11.5163803101	-0.0106749199	0.11040 	 0.00050	10.30	10.43	10.50	4.64	6.60	7.70	0.057 	 0.019	0.861 	 0.163	-0.1803 	 0.0521	
18415	2007la	337.4775085449	1.0584667921	0.13070 	 0.00050	10.90	10.98	11.05	6.02	8.02	10.15	-0.034 	 0.041	-2.093 	 0.287	-0.0752 	 0.0897	
18485	2007nu	47.9590339661	-0.6926384568	0.28200 	 0.00050	10.72	10.78	10.83	4.79	6.06	6.73	-0.072 	 0.038	1.323 	 0.474	-0.0585 	 0.1116	
18486	2007ln	55.1812210083	1.0045801401	0.24030 	 0.00060	9.41	9.50	9.58	2.96	4.61	6.28	-0.109 	 0.029	1.008 	 0.323	-0.1315 	 0.0817	
18602	2007lo	338.9836730957	0.6091071367	0.13840 	 0.00050	9.20	9.27	9.34	3.39	4.89	6.59	0.068 	 0.027	0.812 	 0.254	0.0493 	 0.0623	
18604	2007lp	340.9206848145	0.4205097556	0.17610 	 0.00050	11.04	11.10	11.17	7.11	9.11	10.51	0.004 	 0.035	-2.395 	 0.271	0.1204 	 0.0818	
18612	2007lc	12.2880029678	0.5966250896	0.11504 	 0.00015	11.05	11.05	11.07	5.86	7.15	8.90	0.069 	 0.024	-1.218 	 0.226	-0.1887 	 0.0619	
18617	2007mw	345.7612915039	0.8493407369	0.32820 	 0.00050	9.83	9.93	10.02	2.50	3.80	5.23	-0.001 	 0.060	-0.590 	 0.805	-0.1412 	 0.1913	
18650	2007lt	328.4472045898	0.0150281759	0.11300 	 0.00500	8.86	8.91	8.93	2.90	3.05	3.71	-0.076 	 0.023	0.821 	 0.223	0.2338 	 0.1552	
18721	2007mu	3.0777626038	-0.0776401758	0.40309 	 0.00018	11.16	11.17	11.24	4.73	5.64	6.59	-0.098 	 0.074	0.569 	 0.931	-0.0820 	 0.2083	
18749	2007mb	12.5465755463	0.6757113338	0.18940 	 0.00050	11.14	11.20	11.23	7.96	9.36	9.96	0.096 	 0.040	-1.780 	 0.477	-0.1039 	 0.1069	
18751	2007ly	5.7224216461	0.7759432793	0.07130 	 0.00050	10.10	10.12	10.14	9.74	11.34	12.34	0.478 	 0.077	-1.967 	 0.510	0.2231 	 0.2149	
18782	2007ns	39.2622032166	-0.8667251468	0.36590 	 0.00050	10.94	11.10	11.14	3.81	5.01	5.93	-0.275 	 0.075	-0.655 	 0.838	0.3879 	 0.1999	
18890	2007mm	16.4433784485	-0.7594780922	0.06643 	 0.00016	10.20	10.28	10.34	6.06	7.80	8.20	0.399 	 0.061	-2.995 	 0.288	0.1322 	 0.1316	
18927	2007nt	46.6823501587	-0.7540850639	0.21290 	 0.00050	10.40	10.46	10.51	5.42	7.31	8.49	0.159 	 0.035	-0.834 	 0.389	-0.2880 	 0.1001	
18940	2007sb	10.3486833572	0.4118011594	0.21230 	 0.00050	10.17	10.23	10.28	3.33	4.51	5.97	-0.003 	 0.031	-0.878 	 0.318	-0.0743 	 0.0837	
18945	2007nd	10.0779104233	-1.0390836000	0.26330 	 0.00050	9.61	9.67	9.75	2.23	3.19	4.46	-0.033 	 0.037	-0.088 	 0.579	0.1640 	 0.1179	
18965	2007ne	13.5092248917	1.0689095259	0.20660 	 0.00050	10.37	10.47	10.53	3.78	4.31	5.78	-0.124 	 0.037	-1.310 	 0.353	-0.0385 	 0.0875	
19002	2007nh	42.6161956787	-0.5511860251	0.26290 	 0.00050	10.68	10.84	10.95	2.81	4.96	6.83	-0.097 	 0.029	0.263 	 0.380	-0.0021 	 0.0836	
19008	2007mz	331.9632873535	-1.0700660944	0.23220 	 0.00050	10.40	10.46	10.50	2.64	3.95	5.60	0.089 	 0.038	1.210 	 0.478	-0.1803 	 0.1001	
19027	2007my	328.8840332031	-0.3717949390	0.29320 	 0.00050	9.42	9.43	9.46	1.81	1.83	1.87	0.006 	 0.044	0.217 	 0.608	-0.4353 	 0.1387	
19029	2007lu	330.3953247070	-0.2568780780	0.31950 	 0.00050	9.70	9.73	9.78	1.67	1.70	2.24	-0.127 	 0.088	3.565 	 0.996	0.7472 	 0.2665	
19033	2007of	316.2346191406	0.0608703010	0.40470 	 0.00050	10.01	10.11	10.21	1.89	3.03	4.48	-0.092 	 0.090	0.693 	 1.215	0.2684 	 0.2699	
19067	2007oq	325.6280822754	0.9846492410	0.33910 	 0.00050	9.67	9.80	9.91	2.71	4.48	5.82	0.016 	 0.059	2.872 	 1.342	-0.0072 	 0.2755	
19149	2007ni	31.4603996277	-0.3325760365	0.19600 	 0.00500	9.45	9.49	9.54	2.46	3.00	3.62	0.078 	 0.027	1.492 	 0.329	-0.3660 	 0.1133	
19174	2007or	25.6597671509	1.0303381681	0.16640 	 0.00050	11.03	11.06	11.10	8.62	10.22	10.72	0.074 	 0.032	-1.088 	 0.305	-0.2163 	 0.0798	
19211	2007oh	313.1539306641	-0.4541013539	0.41990 	 0.00050	10.29	10.40	10.52	2.10	3.73	5.51	-0.107 	 0.087	0.702 	 1.220	0.2239 	 0.2425	
19230	2007mo	332.8909912109	0.7647492290	0.22150 	 0.00050	10.32	10.42	10.47	4.03	6.03	8.63	0.145 	 0.050	-1.493 	 0.581	-0.3277 	 0.1387	
19282	2007mk	359.0729980469	-0.5038936734	0.18641 	 0.00016	8.54	8.59	8.64	2.42	2.46	3.00	-0.107 	 0.023	0.530 	 0.279	-0.0657 	 0.0593	
19341	2007nf	15.8608398438	0.3316199183	0.22800 	 0.00500	10.99	11.03	11.07	7.96	9.96	10.58	0.071 	 0.052	-1.940 	 0.488	-0.1392 	 0.1435	
19353	2007nj	43.1132774353	0.2517381907	0.15395 	 0.00011	10.83	10.86	10.86	6.77	8.50	8.50	0.059 	 0.023	0.863 	 0.308	-0.0349 	 0.0665	
19425	2007ow	323.5083923340	-0.7406359315	0.21160 	 0.00050	10.53	10.60	10.68	5.13	8.23	10.13	0.210 	 0.060	-1.419 	 0.558	-0.0122 	 0.1373	
19543	2007oj	357.9083862305	0.2798276842	0.12300 	 0.00500	8.78	8.84	8.90	3.16	4.03	5.30	-0.007 	 0.026	-1.104 	 0.235	0.1811 	 0.1463	
19596	2007po	53.8846893311	0.7037985921	0.29200 	 0.00500	9.69	9.78	9.88	2.38	3.50	4.94	-0.033 	 0.042	0.986 	 0.638	0.0210 	 0.1451	
19604	2007oi	5.3261027336	1.0737973452	0.29600 	 0.00500	10.07	10.17	10.25	2.51	4.26	6.08	0.172 	 0.068	1.950 	 1.012	0.3947 	 0.2209	
19626	2007ou	35.9277305603	-0.8264662623	0.11321 	 0.00005	10.27	10.30	10.36	3.71	4.73	6.24	0.329 	 0.034	1.744 	 0.461	0.4453 	 0.0815	
19632	2007ov	40.2866287231	0.1442469060	0.31530 	 0.00050	10.97	11.06	11.15	4.25	7.12	8.72	-0.025 	 0.046	-0.052 	 0.596	-0.0682 	 0.1344	
19658	2007ot	8.9032306671	-0.2325988412	0.20000 	 0.00050	8.72	8.78	8.87	2.37	2.97	4.12	-0.093 	 0.030	-0.401 	 0.350	0.0771 	 0.0756	
19757	2007oy	349.4814147949	1.2236189842	0.40300 	 0.00500	10.26	10.39	10.56	1.98	3.51	5.47	-0.087 	 0.087	0.144 	 1.079	-0.3474 	 0.2605	
19775	2007pc	318.9561462402	0.6512132883	0.13790 	 0.00050	10.78	10.88	10.97	4.78	6.75	8.32	0.119 	 0.027	-0.621 	 0.314	-0.0728 	 0.0694	
19794	2007oz	359.3190917969	0.2484871745	0.29730 	 0.00018	11.16	11.41	11.44	4.28	9.38	9.88	0.068 	 0.094	-2.117 	 0.938	0.0166 	 0.2460	
19818	2007pe	35.2665252686	0.4965370297	0.30440 	 0.00050	10.14	10.22	10.30	2.54	4.19	5.54	-0.056 	 0.040	0.613 	 0.556	-0.2044 	 0.1116	
19913	2007qf	333.7622070312	-0.3417298794	0.20380 	 0.00050	9.79	9.83	9.85	2.41	2.89	3.57	-0.056 	 0.028	0.245 	 0.457	0.1322 	 0.0856	
19940	2007pa	315.3935546875	-0.2687674761	0.15710 	 0.00080	8.74	8.85	8.98	3.26	4.60	6.59	0.019 	 0.025	1.099 	 0.340	-0.3307 	 0.0676	
19969	2007pt	31.9098148346	-0.3240273297	0.17529 	 0.00010	10.31	10.32	10.34	2.49	2.53	3.07	0.034 	 0.025	-0.485 	 0.345	-0.1577 	 0.0711	
19990	2007ps	34.8060150146	-0.3845337927	0.24600 	 0.00500	10.52	10.59	10.64	6.38	8.78	10.38	-0.038 	 0.044	-1.164 	 0.491	0.0404 	 0.1339	
20040	2007rf	328.8794555664	0.8150795698	0.28800 	 0.00050	10.27	10.38	10.47	3.97	6.37	8.53	-0.097 	 0.046	0.829 	 0.731	-0.1062 	 0.1240	
20048	2007pq	339.3081054688	0.7363132834	0.18550 	 0.00050	10.71	10.80	10.87	7.01	8.01	11.01	0.050 	 0.040	-0.939 	 0.567	0.0230 	 0.1211	
20064	2007om	358.5862731934	-0.9172353745	0.10503 	 0.00018	11.16	11.16	11.27	4.69	4.69	6.85	0.107 	 0.023	0.408 	 0.322	-0.2490 	 0.0619	
20106	2007pr	346.5540771484	0.3289288580	0.33300 	 0.00500	10.12	10.20	10.26	3.05	5.27	6.52	-0.042 	 0.084	-0.503 	 0.905	0.0408 	 0.2340	
20111	2007pw	354.3940734863	0.2474300116	0.24500 	 0.00500	10.78	10.87	10.93	5.90	8.39	8.94	0.015 	 0.048	-0.362 	 0.810	-0.0164 	 0.1594	
20184	2007qn	359.7885131836	1.1585552692	0.32400 	 0.00050	9.53	9.65	9.75	2.21	3.38	4.62	0.029 	 0.082	-1.095 	 1.398	-0.2104 	 0.2047	
20227	2007qi	349.1200561523	-0.0988994613	0.27640 	 0.00050	10.64	10.71	10.76	5.08	7.48	8.64	-0.134 	 0.057	-1.647 	 0.713	0.0382 	 0.1498	
20350	2007ph	312.8067932129	-0.9577776194	0.12946 	 0.00018	11.19	11.29	11.34	5.03	8.14	9.63	0.213 	 0.054	-3.029 	 0.845	-0.0720 	 0.1358	
20364	2007qo	25.7565631866	-0.9451811910	0.21810 	 0.00090	10.31	10.37	10.41	2.76	3.60	5.70	0.062 	 0.039	0.830 	 0.964	0.0192 	 0.1404	
20376	2007re	319.3955078125	-0.5239647627	0.21090 	 0.00050	10.61	10.69	10.74	5.74	9.14	10.24	0.164 	 0.045	-1.096 	 0.874	-0.3531 	 0.1499	
20821	2007rk	55.5723648071	1.0622460842	0.19590 	 0.00050	10.58	10.63	10.68	2.94	4.02	5.60	0.285 	 0.057	-1.504 	 1.272	0.0002 	 0.2060	
