Gupta2011 Table 2
Properties of SN Ia Sample and Host Galaxies

SN ID	IAU	RA	Dec	redshift	redshift uncert	M -	M	M +	Age -	Age	Age +	c	c uncert	x_1	x_1 uncert	HR	HR uncert
5944	2005hc	29.2021064758	-0.2125778049	0.04594 	 0.00017	10.87	10.87	10.92	7.26	7.26	10.33	-0.025 	 0.015	0.543 	 0.127	0.0667 	 0.0739	
5957	2005ie	34.7598075867	-0.2725664973	0.27960 	 0.00050	10.45	10.49	10.52	1.91	2.45	4.25	-0.104 	 0.038	-0.771 	 0.489	-0.0143 	 0.1051	
6100	2005ka	333.4833679199	1.0861500502	0.31770 	 0.00050	9.99	10.00	10.05	1.68	1.74	2.24	0.027 	 0.067	2.730 	 1.223	0.4055 	 0.2179	
6196	2005ig	337.6311950684	-0.5023938417	0.28070 	 0.00050	11.11	11.17	11.23	6.44	8.44	9.54	0.006 	 0.046	-0.899 	 0.653	-0.2086 	 0.1329	
6649	2005jd	34.2763099670	0.5356944203	0.31400 	 0.00500	9.34	9.45	9.54	4.12	5.75	6.50	-0.102 	 0.042	0.568 	 0.606	-0.0221 	 0.1289	
6777	2005iy	321.2164306641	0.3856396675	0.40430 	 0.00050	9.11	9.26	9.44	1.35	2.39	3.79	-0.039 	 0.089	1.716 	 1.330	0.2246 	 0.2238	
6936	2005jl	323.2338867188	-0.7000573874	0.18100 	 0.00050	10.18	10.26	10.33	3.40	4.90	6.68	-0.011 	 0.027	-0.144 	 0.315	-0.0136 	 0.0735	
7143	2005jg	345.2623596191	-0.2068603635	0.30400 	 0.00500	10.30	10.36	10.40	3.49	5.09	6.24	0.033 	 0.040	-0.894 	 0.590	-0.0097 	 0.1264	
7512	2005jo	52.0903663635	-0.3261369467	0.21900 	 0.00500	-99.00	8.62	8.67	2.22	2.26	2.43	0.013 	 0.031	0.279 	 0.425	0.0395 	 0.1191	
7847	2005jp	32.4597015381	-0.0616886541	0.21240 	 0.00050	10.43	10.49	10.58	3.28	4.25	7.31	0.174 	 0.030	0.255 	 0.410	-0.1968 	 0.0875	
8030	2005jv	40.2087211609	0.9932332635	0.42200 	 0.00500	9.41	9.56	9.72	1.30	2.35	3.95	-0.165 	 0.082	0.923 	 1.127	0.3907 	 0.2467	
8213	2005ko	357.5210571289	-0.9214569926	0.18470 	 0.00050	10.38	10.45	10.49	4.35	5.97	7.09	0.216 	 0.040	-0.651 	 0.377	-0.1624 	 0.0913	
8598	2005jt	42.6674690247	-0.0667039678	0.36060 	 0.00050	10.01	10.11	10.19	1.63	2.11	2.73	0.090 	 0.085	-1.283 	 0.940	-0.3454 	 0.2274	
8719	2005kp	7.7218842506	-0.7186533809	0.11780 	 0.00050	9.01	9.10	9.14	2.92	3.46	3.54	-0.099 	 0.026	-0.263 	 0.259	0.0664 	 0.0649	
9207	2005lg	19.0833320618	-0.8073787689	0.35000 	 0.00050	10.73	10.79	10.85	4.10	5.26	5.99	0.002 	 0.066	1.512 	 0.916	0.0289 	 0.1974	
9457	2005li	335.8146362305	0.2536900640	0.25690 	 0.00050	11.00	11.05	11.10	7.67	8.77	10.27	0.001 	 0.065	-0.186 	 0.819	-0.0116 	 0.1659	
10550	2005lf	349.6758117676	-1.2046753168	0.30010 	 0.00050	10.33	10.38	10.39	1.77	1.80	3.26	0.068 	 0.075	1.281 	 1.130	0.1359 	 0.2309	
12781	2006er	5.4078617096	-1.0106090307	0.08431 	 0.00016	10.96	10.97	11.02	10.58	11.18	11.58	0.072 	 0.061	-2.128 	 0.337	0.1604 	 0.1149	
12843	2006fa	323.8784790039	-0.9796369672	0.16704 	 0.00013	11.18	11.22	11.28	7.61	8.71	10.61	0.082 	 0.043	-1.110 	 0.405	-0.3135 	 0.1016	
12856	2006fl	332.8653564453	0.7555990219	0.17173 	 0.00011	10.32	10.37	10.45	3.16	3.93	6.07	-0.130 	 0.023	0.738 	 0.310	0.0908 	 0.0711	
12860	2006fc	323.6949768066	1.1754231453	0.12170 	 0.00050	10.58	10.63	10.67	3.43	5.02	6.17	0.186 	 0.024	-0.494 	 0.258	-0.0007 	 0.0649	
12898	2006fw	26.7930507660	-0.1468682140	0.08350 	 0.00050	9.96	9.97	10.01	6.93	7.65	8.43	0.074 	 0.019	-0.332 	 0.139	0.0141 	 0.0583	
12930	2006ex	309.6826477051	-0.4763843715	0.14749 	 0.00017	10.85	10.88	10.90	4.12	4.61	5.12	-0.023 	 0.037	1.623 	 0.477	0.1716 	 0.0947	
12950	2006fy	351.6672668457	-0.8406041265	0.08268 	 0.00004	9.75	9.78	9.81	3.18	3.81	4.34	0.028 	 0.014	-0.731 	 0.112	0.0301 	 0.0480	
12972	2006ft	7.9585695267	-0.3830518126	0.26080 	 0.00050	9.12	9.18	9.27	2.06	2.67	3.83	-0.059 	 0.044	0.723 	 0.696	0.1218 	 0.1387	
13044	2006fm	332.5429992676	0.5039222836	0.12570 	 0.00050	9.66	9.70	9.76	3.30	4.12	5.72	-0.083 	 0.021	-0.197 	 0.204	0.0565 	 0.0547	
13070	2006fu	357.7849121094	-0.7465677261	0.19855 	 0.00009	10.18	10.22	10.23	3.08	3.74	4.13	-0.179 	 0.027	0.717 	 0.323	0.0957 	 0.0754	
13305	2006he	331.1001586914	0.6907849908	0.21390 	 0.00050	10.01	10.06	10.11	2.58	3.50	4.63	-0.022 	 0.030	1.020 	 0.352	0.0304 	 0.0817	
