cid	redshift	err_redshift	mu	err_mu	u	g	r	i	z	err_u	err_g	err_r	err_i	err_z
10028	0.06539160013198853	9.499999578110874e-06	37.020198822021484	0.09020110219717026	21.223124465173644	19.45378309293492	18.64055631989234	18.274015616509995	17.984475312986497	0.04122476719680612	0.003413605253261197	0.001933807319025897	0.001704239862974277	0.003942567913921623
1032	0.1297551989555359	3.396579995751381e-05	38.6609992980957	0.12440700083971024	24.920457094220268	24.74364320494908	23.73052934437763	23.32075466396094	22.86597812928584	0.6110913525116782	0.16137279737531657	0.09854286683048548	0.11723403829675755	0.2658210630939464
10324	0.2517249882221222	3.149999974993989e-05	40.097198486328125	0.1513890027999878	24.617600038296274	23.986003204509124	23.12758804978182	22.81164935575058	22.45089238839543	0.6015281335811403	0.10784501732942262	0.061509061379031976	0.0670965052775299	0.17767891510874684
10550	0.3008129894733429	1.5600000551785342e-05	41.063899993896484	0.22329500317573547	24.420838999731934	25.576570923879625	25.032475872932206	24.365446236710095	23.966206950951005	0.7103766767803594	0.45280539424666905	0.31117865119344806	0.22751457161419203	0.6840518888092456
10559	0.28109198808670044	3.4100001357728615e-05	40.744300842285156	0.17746900022029877	24.99611970152983	23.593706812110344	22.488992304787274	22.060868807517473	21.76917066311266	1.4572820465071379	0.07573951654609877	0.034484260592781375	0.032406461983591296	0.10410437759868268
10805	0.04524829983711243	7.499999810534064e-06	36.2755012512207	0.1032399982213974	21.448012705671392	20.45953599657555	19.95950027865822	19.640118559761266	19.405685300655453	0.05275488729013947	0.008569919496766228	0.0051161249659072375	0.00500151316149949	0.013144032850019157
11172	0.13632899522781372	9.399999726156238e-06	39.17470169067383	0.10324399918317795	21.961039502266328	21.021640996663578	20.511915858463784	20.170261340816854	20.044870256443165	0.07582861741864824	0.013293947178936871	0.006909230393915369	0.006355614317156964	0.019299553146001992
1119	0.2978050112724304	1.160000010713702e-05	41.095699310302734	0.21870200335979462	24.97985479399375	25.893163903799234	25.98177228541179	24.356648081563247	23.955185319278577	0.7264658304342716	0.5561419932836311	1.062839726970713	0.3784452828828016	0.9482058112253795
11311	0.20453210175037384	1.512180006102426e-05	39.61669921875	0.17032399773597717	23.312507723544172	22.24128444624434	21.256851511236693	20.797445245603118	20.511915858463784	0.17790147941758638	0.022308486082139693	0.011808927520638376	0.011038110325066859	0.0279244068902488
11540	0.21653799712657928	6.690000009257346e-05	39.930301666259766	0.1241070032119751	24.01893213122465	22.512329500836433	21.20030445311543	20.704897295060576	20.41788375877703	0.34257078958562864	0.03060626850181691	0.010965755013114552	0.009850036944590095	0.02604712352005743
11996	0.2867029905319214	2.4499999199179e-05	40.94260025024414	0.22197599709033966	23.910977635788356	22.16728783362688	20.87426932271665	20.339495445542283	19.97487635897822	0.46083470024178386	0.017308391474190006	0.007378724792656911	0.006511964511218751	0.015821478871811817
12199	0.3104040026664734	1.650000012887176e-05	41.08369827270508	0.22626399993896484	24.23228117270229	23.715769746416925	22.537416660547223	22.106929840375855	21.9301753140724	0.6294144294014741	0.09217304826891799	0.03797600693381485	0.03412313786382693	0.13151968300752706
12860	0.12167900055646896	1.2900000001536682e-05	38.67599868774414	0.06569290161132812	24.413671244145327	23.245719253900887	22.530628858812673	22.19583214227082	21.813060487160485	0.5908732900553391	0.059248987199992074	0.05277969765906375	0.06313313124025419	0.14102182214814848
12881	0.23810899257659912	3.3299998904112726e-05	40.23979949951172	0.1289149969816208	24.380551791605672	23.929671940890348	23.141535445790375	22.737352403388652	22.342718199253504	0.488446082153019	0.0837258707276231	0.04919016688986234	0.04416617118053117	0.11364401113896744
12898	0.0835810974240303	7.700000423938036e-06	37.82659912109375	0.06165950000286102	22.351549595065286	21.326606178069206	20.719301011277015	20.251207476581197	20.020221383870137	0.06885283642953308	0.009215566552909657	0.006147865261985136	0.005272283757225348	0.014534364289845779
12950	0.08273419737815857	1.049999991664663e-05	37.85919952392578	0.05923530086874962	21.934784912982664	20.955503192620526	20.56594373099548	20.25991006114485	20.13414132954347	0.07474541340889299	0.0073247542100548435	0.005191994559859144	0.004376375464945295	0.014694148760562652
12977	0.24780400097370148	1.5400000847876072e-05	40.23860168457031	0.10541699826717377	24.318953019346953	23.28875434335702	22.660511238817467	22.398722386371055	22.102981326522574	0.44617546052275536	0.056481778077821815	0.03639920226679552	0.0405857236600505	0.12274171042326809
13025	0.22435800731182098	1.5100000382517464e-05	40.2692985534668	0.08534400165081024	24.561267975244302	23.478821913474647	22.78023345830178	22.365989534969128	21.930352244929917	0.4766938880239774	0.053587048097797775	0.035579633490683514	0.03269366322506831	0.08723402036273757
