# logzsol	dust2	tau	tStart	sfTrans	sfSlope	c	age
# dex		1/Gyr	Gyr	Gyr		mag	Gyr
-3.812461128109866093e-02	2.075306566798008623e-01	2.154671532376223553e+00	3.435790022953393752e+00	7.850994018721847212e+00	-2.004607008506907206e+00	-2.497271614924360250e+01	7.111874043483629393e+00
-3.812461128109866093e-02	2.075306566798008623e-01	2.154671532376223553e+00	3.435790022953393752e+00	7.850994018721847212e+00	-2.004607008506907206e+00	-2.497271614924360250e+01	7.111874043483629393e+00
-3.812383072099658626e-02	2.075204846783413881e-01	2.154860775195610589e+00	3.435782590234287337e+00	7.851429455233546406e+00	-2.004508394330794196e+00	-2.497270358425559778e+01	7.111642840041646707e+00
-3.808684809600432208e-02	2.074300267051049362e-01	2.158097396250786115e+00	3.438063782467041030e+00	7.858952579124961701e+00	-2.002164276067320614e+00	-2.497368424448770341e+01	7.106166629610378926e+00
-3.806373254336621603e-02	2.074597132829073542e-01	2.157406272718969564e+00	3.438593484246222687e+00	7.857287756394421230e+00	-2.003902460050952961e+00	-2.497343907530265383e+01	7.106768468492808744e+00
-3.806373254336621603e-02	2.074597132829073542e-01	2.157406272718969564e+00	3.438593484246222687e+00	7.857287756394421230e+00	-2.003902460050952961e+00	-2.497343907530265383e+01	7.106768468492808744e+00
-3.839047584668638102e-02	2.084443241638636035e-01	2.124633178664210753e+00	3.425642084880079263e+00	7.793375254561293097e+00	-2.014587139517260983e+00	-2.495040524129635884e+01	7.150906375881393551e+00
-3.840879551855559682e-02	2.085109882017512350e-01	2.122931544391613912e+00	3.425339889558643769e+00	7.791023242660356729e+00	-2.014821169603016937e+00	-2.495280505367464485e+01	7.152589109803278333e+00
-3.840879551855559682e-02	2.085109882017512350e-01	2.122931544391613912e+00	3.425339889558643769e+00	7.791023242660356729e+00	-2.014821169603016937e+00	-2.495280505367464485e+01	7.152589109803278333e+00
-3.840879551855559682e-02	2.085109882017512350e-01	2.122931544391613912e+00	3.425339889558643769e+00	7.791023242660356729e+00	-2.014821169603016937e+00	-2.495280505367464485e+01	7.152589109803278333e+00
-3.840879551855559682e-02	2.085109882017512350e-01	2.122931544391613912e+00	3.425339889558643769e+00	7.791023242660356729e+00	-2.014821169603016937e+00	-2.495280505367464485e+01	7.152589109803278333e+00
-3.838811694653754963e-02	2.083483690550764766e-01	2.124036839453383951e+00	3.426833200603883522e+00	7.787825839223649460e+00	-2.014154486957704382e+00	-2.495379264798384256e+01	7.152516074035234261e+00
-3.838811694653754963e-02	2.083483690550764766e-01	2.124036839453383951e+00	3.426833200603883522e+00	7.787825839223649460e+00	-2.014154486957704382e+00	-2.495379264798384256e+01	7.152516074035234261e+00
-3.841106344017599511e-02	2.083641311369864302e-01	2.124150958195886840e+00	3.426318309688748176e+00	7.789190350442011024e+00	-2.014621307502432401e+00	-2.495526346791588423e+01	7.152276517871143824e+00
-3.839228065679407137e-02	2.082177246545204308e-01	2.124741375999546378e+00	3.431159297194598334e+00	7.783908581273313310e+00	-2.012057399780129874e+00	-2.496015884329333545e+01	7.151089315998781615e+00
-3.839228065679407137e-02	2.082177246545204308e-01	2.124741375999546378e+00	3.431159297194598334e+00	7.783908581273313310e+00	-2.012057399780129874e+00	-2.496015884329333545e+01	7.151089315998781615e+00
-3.848530700740934729e-02	2.083397106578004088e-01	2.124572274981517683e+00	3.434404243765758036e+00	7.813637492173349131e+00	-2.016456927742292127e+00	-2.496633367086714372e+01	7.137768114810389086e+00
-3.849869024418491048e-02	2.084462916127367282e-01	2.124189646512463892e+00	3.435717539505783957e+00	7.820082850936523222e+00	-2.016072040927826325e+00	-2.496572950300516780e+01	7.134595576661366678e+00
-3.854218639236934446e-02	2.084150390287040910e-01	2.123804543560851688e+00	3.440014894854265481e+00	7.832886439116971466e+00	-2.016565795773088254e+00	-2.496392659240250822e+01	7.127163590877919397e+00
-3.854218639236934446e-02	2.084150390287040910e-01	2.123804543560851688e+00	3.440014894854265481e+00	7.832886439116971466e+00	-2.016565795773088254e+00	-2.496392659240250822e+01	7.127163590877919397e+00
-3.854218639236934446e-02	2.084150390287040910e-01	2.123804543560851688e+00	3.440014894854265481e+00	7.832886439116971466e+00	-2.016565795773088254e+00	-2.496392659240250822e+01	7.127163590877919397e+00
-3.859335233319036162e-02	2.085960545564295721e-01	2.121263659263477042e+00	3.447671262094068823e+00	7.837432070959771124e+00	-2.015187612153515495e+00	-2.496224526471433336e+01	7.121547576263744794e+00
-3.873037532490097162e-02	2.082862177852153329e-01	2.121382388864403001e+00	3.452058220781155651e+00	7.864010506587116645e+00	-2.012288526158096502e+00	-2.495696489745085600e+01	7.108513235256737062e+00
-3.873037532490097162e-02	2.082862177852153329e-01	2.121382388864403001e+00	3.452058220781155651e+00	7.864010506587116645e+00	-2.012288526158096502e+00	-2.495696489745085600e+01	7.108513235256737062e+00
-3.873037532490097162e-02	2.082862177852153329e-01	2.121382388864403001e+00	3.452058220781155651e+00	7.864010506587116645e+00	-2.012288526158096502e+00	-2.495696489745085600e+01	7.108513235256737062e+00
-3.873037532490097162e-02	2.082862177852153329e-01	2.121382388864403001e+00	3.452058220781155651e+00	7.864010506587116645e+00	-2.012288526158096502e+00	-2.495696489745085600e+01	7.108513235256737062e+00
-3.845402439565546310e-02	2.081221058944176805e-01	2.123823188198119993e+00	3.423846518476148848e+00	7.795547718500012380e+00	-2.012897542728610212e+00	-2.495792981444975212e+01	7.151401918915117228e+00
-3.845822981324049233e-02	2.082228015260242926e-01	2.123715696330099600e+00	3.423413373041726437e+00	7.793285260460325325e+00	-2.012954922341136932e+00	-2.496078257970187053e+01	7.152580375643669441e+00
-3.847547630213987019e-02	2.081588552184033547e-01	2.123543672167249152e+00	3.422650520799820573e+00	7.791576140200176859e+00	-2.012725682307670017e+00	-2.496291147141852917e+01	7.153762064594938686e+00
-3.848350385679903674e-02	2.081847001788380280e-01	2.124009162189433031e+00	3.423324465591571997e+00	7.794388182480134653e+00	-2.012804251946353595e+00	-2.496339376211663463e+01	7.152104285233853886e+00
-3.848350385679903674e-02	2.081847001788380280e-01	2.124009162189433031e+00	3.423324465591571997e+00	7.794388182480134653e+00	-2.012804251946353595e+00	-2.496339376211663463e+01	7.152104285233853886e+00
-3.841363275476798039e-02	2.085523028069138640e-01	2.123046093710561077e+00	3.427705395093742613e+00	7.787741233860763224e+00	-2.015778198548496380e+00	-2.496706638050664750e+01	7.152393763868214016e+00
-3.835291486426237878e-02	2.084876286665473810e-01	2.124253435412875479e+00	3.430046566876768566e+00	7.792708500290549622e+00	-2.014676683819768055e+00	-2.496490722875159918e+01	7.148596017281103165e+00
-3.832356910114558673e-02	2.086727929588053088e-01	2.123373118544439109e+00	3.431223304859620793e+00	7.794240939085973707e+00	-2.015591909391480474e+00	-2.496353454327882204e+01	7.147605543662271188e+00
-3.833737112524631535e-02	2.092221828184778754e-01	2.120455672483612553e+00	3.430082870084980584e+00	7.805062230627204833e+00	-2.017901122034230887e+00	-2.496640366263079613e+01	7.145181548847462594e+00
-3.830830918016402131e-02	2.093635821172785960e-01	2.119053803008173364e+00	3.431158271422159789e+00	7.799303980151618632e+00	-2.017825025945171991e+00	-2.496644385813292999e+01	7.147223623440865481e+00
-3.835350628552874896e-02	2.075198124905803243e-01	2.133103373064938246e+00	3.426277744696280880e+00	7.806532404300991601e+00	-2.011416205902021304e+00	-2.493899999475376816e+01	7.142451365607251468e+00
-3.835259422297988136e-02	2.074959302436598929e-01	2.133295449172832647e+00	3.426250325308341615e+00	7.806781040456395537e+00	-2.011324512761624383e+00	-2.493842296742414533e+01	7.142304015099905534e+00
-3.835217579365492180e-02	2.075316973696537115e-01	2.132903400446243936e+00	3.426296835791099227e+00	7.806465870101359172e+00	-2.011298722913303472e+00	-2.493913468501541786e+01	7.142530661997264829e+00
-3.835217579365492180e-02	2.075316973696537115e-01	2.132903400446243936e+00	3.426296835791099227e+00	7.806465870101359172e+00	-2.011298722913303472e+00	-2.493913468501541786e+01	7.142530661997264829e+00
-3.835217579365492180e-02	2.075316973696537115e-01	2.132903400446243936e+00	3.426296835791099227e+00	7.806465870101359172e+00	-2.011298722913303472e+00	-2.493913468501541786e+01	7.142530661997264829e+00
-3.835217579365492180e-02	2.075316973696537115e-01	2.132903400446243936e+00	3.426296835791099227e+00	7.806465870101359172e+00	-2.011298722913303472e+00	-2.493913468501541786e+01	7.142530661997264829e+00
-3.835217579365492180e-02	2.075316973696537115e-01	2.132903400446243936e+00	3.426296835791099227e+00	7.806465870101359172e+00	-2.011298722913303472e+00	-2.493913468501541786e+01	7.142530661997264829e+00
-3.835217579365492180e-02	2.075316973696537115e-01	2.132903400446243936e+00	3.426296835791099227e+00	7.806465870101359172e+00	-2.011298722913303472e+00	-2.493913468501541786e+01	7.142530661997264829e+00
-3.835217579365492180e-02	2.075316973696537115e-01	2.132903400446243936e+00	3.426296835791099227e+00	7.806465870101359172e+00	-2.011298722913303472e+00	-2.493913468501541786e+01	7.142530661997264829e+00
-3.835217579365492180e-02	2.075316973696537115e-01	2.132903400446243936e+00	3.426296835791099227e+00	7.806465870101359172e+00	-2.011298722913303472e+00	-2.493913468501541786e+01	7.142530661997264829e+00
-3.851644236913782243e-02	2.083153562049790686e-01	2.128295211494065420e+00	3.425340259384158870e+00	7.812685720034359349e+00	-2.017819383230309960e+00	-2.496538262576911293e+01	7.142456670898628346e+00
-3.853844632929952219e-02	2.082205328502204078e-01	2.129365237956675205e+00	3.424873586519235236e+00	7.816463605292893746e+00	-2.018102702433831830e+00	-2.496447596556517823e+01	7.140924468665851066e+00
-3.862145288934994147e-02	2.088267872339962528e-01	2.129088377839358337e+00	3.429645465495033907e+00	7.832698580080896811e+00	-2.016651813187921416e+00	-2.496103124277961882e+01	7.131789951825381557e+00
-3.855172602641471213e-02	2.087295517004654488e-01	2.129244615044234568e+00	3.426985511609646373e+00	7.825164578188672060e+00	-2.017483750977432155e+00	-2.496404264786315963e+01	7.136296046205306887e+00
-3.848577738415846078e-02	2.070896654597870201e-01	2.136110203594913326e+00	3.409929469699847893e+00	7.845654407331053015e+00	-2.021977119330558015e+00	-2.496152812361949103e+01	7.136637636404215002e+00
-3.852500474779184392e-02	2.064606646814289570e-01	2.141688447321074218e+00	3.399889271688618209e+00	7.877481875489237950e+00	-2.027635475474704574e+00	-2.495578442145657050e+01	7.128815596521433484e+00
-3.852500474779184392e-02	2.064606646814289570e-01	2.141688447321074218e+00	3.399889271688618209e+00	7.877481875489237950e+00	-2.027635475474704574e+00	-2.495578442145657050e+01	7.128815596521433484e+00
-3.852500474779184392e-02	2.064606646814289570e-01	2.141688447321074218e+00	3.399889271688618209e+00	7.877481875489237950e+00	-2.027635475474704574e+00	-2.495578442145657050e+01	7.128815596521433484e+00
-3.823360683437500990e-02	2.070208954493365783e-01	2.146473231873025522e+00	3.419434927072905417e+00	7.862453521523054434e+00	-2.022827281641496722e+00	-2.496300653151425308e+01	7.120762748975076661e+00
-3.823360683437500990e-02	2.070208954493365783e-01	2.146473231873025522e+00	3.419434927072905417e+00	7.862453521523054434e+00	-2.022827281641496722e+00	-2.496300653151425308e+01	7.120762748975076661e+00
-3.813640006986546843e-02	2.083458172898136063e-01	2.100490668984677178e+00	3.409895333111459426e+00	7.744157317578362232e+00	-1.997878867617094434e+00	-2.497917024701140676e+01	7.187437832038660268e+00
-3.821355102445490870e-02	2.080671116770254903e-01	2.109207672218844642e+00	3.414345761286331271e+00	7.749705103222235714e+00	-2.004836632787274642e+00	-2.497662206553758324e+01	7.179749533168308773e+00
-3.821355102445490870e-02	2.080671116770254903e-01	2.109207672218844642e+00	3.414345761286331271e+00	7.749705103222235714e+00	-2.004836632787274642e+00	-2.497662206553758324e+01	7.179749533168308773e+00
-3.821355102445490870e-02	2.080671116770254903e-01	2.109207672218844642e+00	3.414345761286331271e+00	7.749705103222235714e+00	-2.004836632787274642e+00	-2.497662206553758324e+01	7.179749533168308773e+00
-3.819744639937838748e-02	2.079894529027931649e-01	2.103229139474028564e+00	3.413806894484414212e+00	7.736707963102720242e+00	-2.000203708603809361e+00	-2.497673163847418820e+01	7.187033211655356801e+00
-3.819744639937838748e-02	2.079894529027931649e-01	2.103229139474028564e+00	3.413806894484414212e+00	7.736707963102720242e+00	-2.000203708603809361e+00	-2.497673163847418820e+01	7.187033211655356801e+00
-3.819744639937838748e-02	2.079894529027931649e-01	2.103229139474028564e+00	3.413806894484414212e+00	7.736707963102720242e+00	-2.000203708603809361e+00	-2.497673163847418820e+01	7.187033211655356801e+00
-3.819744639937838748e-02	2.079894529027931649e-01	2.103229139474028564e+00	3.413806894484414212e+00	7.736707963102720242e+00	-2.000203708603809361e+00	-2.497673163847418820e+01	7.187033211655356801e+00
-3.804422094307968044e-02	2.079252025988227448e-01	2.091112667231226130e+00	3.410453815412062717e+00	7.688204249963421333e+00	-1.992367082954853874e+00	-2.498141493996237017e+01	7.211801927937090184e+00
-3.807272352172905855e-02	2.079785640325564622e-01	2.094211381359105228e+00	3.409947075569518926e+00	7.693434714956017828e+00	-1.994749112438011229e+00	-2.498006025772875915e+01	7.209091699657609098e+00
-3.844929113937075454e-02	2.085492565088967465e-01	2.124682448363526710e+00	3.420300757676093539e+00	7.788505023727338106e+00	-2.011483853187073123e+00	-2.496672653858270152e+01	7.155969430275105125e+00
-3.844929113937075454e-02	2.085492565088967465e-01	2.124682448363526710e+00	3.420300757676093539e+00	7.788505023727338106e+00	-2.011483853187073123e+00	-2.496672653858270152e+01	7.155969430275105125e+00
-3.844623957084943033e-02	2.085815869216349483e-01	2.124545530435242302e+00	3.418347517197767527e+00	7.786200246367000588e+00	-2.010343689624830343e+00	-2.496799405471856304e+01	7.158076284053591642e+00
-3.844623957084943033e-02	2.085815869216349483e-01	2.124545530435242302e+00	3.418347517197767527e+00	7.786200246367000588e+00	-2.010343689624830343e+00	-2.496799405471856304e+01	7.158076284053591642e+00
-3.844623957084943033e-02	2.085815869216349483e-01	2.124545530435242302e+00	3.418347517197767527e+00	7.786200246367000588e+00	-2.010343689624830343e+00	-2.496799405471856304e+01	7.158076284053591642e+00
-3.850174161597866296e-02	2.089345159512259742e-01	2.122928147417694866e+00	3.412739013538434119e+00	7.790821529698637171e+00	-2.010011571762578164e+00	-2.497167922593138556e+01	7.160278476134346981e+00
-3.850174161597866296e-02	2.089345159512259742e-01	2.122928147417694866e+00	3.412739013538434119e+00	7.790821529698637171e+00	-2.010011571762578164e+00	-2.497167922593138556e+01	7.160278476134346981e+00
-3.849735780214515179e-02	2.089066399484846848e-01	2.123055895972363327e+00	3.413181999663897681e+00	7.790456518900374938e+00	-2.010037804000967210e+00	-2.497138815369244469e+01	7.160104150609662099e+00
-3.851812461576859664e-02	2.091845121406958885e-01	2.121663843017700390e+00	3.412112304392862061e+00	7.793445868752281847e+00	-2.002633625833837083e+00	-2.497496518964375767e+01	7.159897912582436241e+00
-3.851812461576859664e-02	2.091845121406958885e-01	2.121663843017700390e+00	3.412112304392862061e+00	7.793445868752281847e+00	-2.002633625833837083e+00	-2.497496518964375767e+01	7.159897912582436241e+00
-3.825179639238040358e-02	2.082197265141822184e-01	2.123083143647046978e+00	3.432538364470933523e+00	7.790318360214682158e+00	-2.013617407119867142e+00	-2.496536657895119760e+01	7.148366240711437669e+00
-3.824870908457355528e-02	2.082213642923154973e-01	2.122770788207307469e+00	3.432998385028776411e+00	7.790150079274912542e+00	-2.013737112601362345e+00	-2.496568661728053584e+01	7.148259072337407538e+00
-3.824870908457355528e-02	2.082213642923154973e-01	2.122770788207307469e+00	3.432998385028776411e+00	7.790150079274912542e+00	-2.013737112601362345e+00	-2.496568661728053584e+01	7.148259072337407538e+00
-3.824870908457355528e-02	2.082213642923154973e-01	2.122770788207307469e+00	3.432998385028776411e+00	7.790150079274912542e+00	-2.013737112601362345e+00	-2.496568661728053584e+01	7.148259072337407538e+00
-3.823698033643466165e-02	2.082140742726838190e-01	2.122593730695157443e+00	3.433248244549524042e+00	7.790647724312849576e+00	-2.013944694397680202e+00	-2.496516813373504107e+01	7.147978985398323104e+00
-3.818723859992227687e-02	2.068664434282395104e-01	2.128915857100096343e+00	3.439982431909119232e+00	7.815911034712869743e+00	-2.001145882247224783e+00	-2.495548379592110066e+01	7.131586536635877493e+00
-3.819936385300189141e-02	2.071415001574777592e-01	2.126971885877428470e+00	3.438627727726556671e+00	7.809678600045782737e+00	-2.003822622522139607e+00	-2.495717835473522328e+01	7.135561802332683889e+00
-3.816926604932729949e-02	2.069963847307521310e-01	2.123174575581309398e+00	3.454103767913108136e+00	7.795114099818556852e+00	-2.012912341818672957e+00	-2.496429632387008368e+01	7.133252113366548741e+00
-3.806883076652957387e-02	2.061072935191614053e-01	2.118906682168870681e+00	3.467104452984895779e+00	7.767435944227806921e+00	-2.013242248007019786e+00	-2.496435443783368413e+01	7.137523907986862426e+00
-3.805842238818205742e-02	2.062210158468123777e-01	2.121772206637293934e+00	3.466391562835832385e+00	7.783258777847224863e+00	-2.015131453829879238e+00	-2.496469658790081425e+01	7.130880258019881346e+00
-3.839617296288100334e-02	2.081878527386348821e-01	2.126657378158823608e+00	3.423723095887896140e+00	7.791287288936902478e+00	-2.013498744656335049e+00	-2.494957637824752439e+01	7.152171474272673635e+00
-3.839248905471954326e-02	2.082092324633036673e-01	2.126955757397672286e+00	3.423437129469561579e+00	7.792485532356468347e+00	-2.014053493819958351e+00	-2.495155572097012708e+01	7.151795367709879336e+00
-3.839248905471954326e-02	2.082092324633036673e-01	2.126955757397672286e+00	3.423437129469561579e+00	7.792485532356468347e+00	-2.014053493819958351e+00	-2.495155572097012708e+01	7.151795367709879336e+00
-3.839248905471954326e-02	2.082092324633036673e-01	2.126955757397672286e+00	3.423437129469561579e+00	7.792485532356468347e+00	-2.014053493819958351e+00	-2.495155572097012708e+01	7.151795367709879336e+00
-3.839248905471954326e-02	2.082092324633036673e-01	2.126955757397672286e+00	3.423437129469561579e+00	7.792485532356468347e+00	-2.014053493819958351e+00	-2.495155572097012708e+01	7.151795367709879336e+00
-3.839248905471954326e-02	2.082092324633036673e-01	2.126955757397672286e+00	3.423437129469561579e+00	7.792485532356468347e+00	-2.014053493819958351e+00	-2.495155572097012708e+01	7.151795367709879336e+00
-3.839248905471954326e-02	2.082092324633036673e-01	2.126955757397672286e+00	3.423437129469561579e+00	7.792485532356468347e+00	-2.014053493819958351e+00	-2.495155572097012708e+01	7.151795367709879336e+00
-3.837132286368683670e-02	2.082349301780967721e-01	2.127815607254619046e+00	3.426214486857868113e+00	7.793496782341487794e+00	-2.014318719559485160e+00	-2.495413788982716241e+01	7.149415001869844133e+00
-3.837132286368683670e-02	2.082349301780967721e-01	2.127815607254619046e+00	3.426214486857868113e+00	7.793496782341487794e+00	-2.014318719559485160e+00	-2.495413788982716241e+01	7.149415001869844133e+00
-3.837404218344792756e-02	2.081494152068994741e-01	2.128224438670584640e+00	3.426294565437530970e+00	7.796532447017341383e+00	-2.017931855812258313e+00	-2.495434692441304492e+01	7.148143592480601605e+00
-3.833453887758530437e-02	2.082888718193355304e-01	2.126745553388572407e+00	3.417721965951423524e+00	7.814916491378560259e+00	-2.013268904358170186e+00	-2.496136404123350516e+01	7.146693392941505074e+00
-3.833453887758530437e-02	2.082888718193355304e-01	2.126745553388572407e+00	3.417721965951423524e+00	7.814916491378560259e+00	-2.013268904358170186e+00	-2.496136404123350516e+01	7.146693392941505074e+00
-3.833453887758530437e-02	2.082888718193355304e-01	2.126745553388572407e+00	3.417721965951423524e+00	7.814916491378560259e+00	-2.013268904358170186e+00	-2.496136404123350516e+01	7.146693392941505074e+00
-3.833453887758530437e-02	2.082888718193355304e-01	2.126745553388572407e+00	3.417721965951423524e+00	7.814916491378560259e+00	-2.013268904358170186e+00	-2.496136404123350516e+01	7.146693392941505074e+00
-3.833453887758530437e-02	2.082888718193355304e-01	2.126745553388572407e+00	3.417721965951423524e+00	7.814916491378560259e+00	-2.013268904358170186e+00	-2.496136404123350516e+01	7.146693392941505074e+00
-3.832798977595838069e-02	2.082948610016135960e-01	2.126683949443189725e+00	3.417000354202944123e+00	7.817114142021605261e+00	-2.013132728721821696e+00	-2.496307500467322882e+01	7.146308064199073051e+00
-3.829513669948250709e-02	2.082701933220182933e-01	2.127027591949649299e+00	3.415813114104094605e+00	7.820816377576053746e+00	-2.012499041326436089e+00	-2.496322996002134076e+01	7.145477758911782828e+00
-3.829513669948250709e-02	2.082701933220182933e-01	2.127027591949649299e+00	3.415813114104094605e+00	7.820816377576053746e+00	-2.012499041326436089e+00	-2.496322996002134076e+01	7.145477758911782828e+00
-3.829513669948250709e-02	2.082701933220182933e-01	2.127027591949649299e+00	3.415813114104094605e+00	7.820816377576053746e+00	-2.012499041326436089e+00	-2.496322996002134076e+01	7.145477758911782828e+00
