GAL,redshift,stellarmass,absmag_u,absmag_g,absmag_r,absmag_i,absmag_z
3565,0.289815,3.48634e+11,-21.0206,-22.7456,-23.5356,-23.9606,-24.2982
3592,0.0866096,3.23573e+08,-13.4981,-16.2826,-16.7833,-16.8200,-17.1874
3674,0.188158,2.03204e+10,-17.7773,-19.4741,-20.3537,-20.7286,-21.0067
3825,0.313473,6.80867e+10,-19.6086,-21.2169,-21.9185,-22.3143,-22.6607
3901,0.0628244,3.84476e+09,-18.3379,-19.7409,-20.0767,-20.1403,-20.4191
3983,0.308011,2.66663e+09,-19.1939,-19.9569,-20.3841,-20.2692,-19.7996
4000,0.277673,5.87010e+10,-20.0297,-21.2920,-21.8984,-22.1895,-22.4334
4019,0.181316,7.38857e+10,-20.3194,-21.5183,-22.1556,-22.4533,-22.7723
4311,0.296352,2.55382e+10,-19.7452,-20.6012,-21.1613,-21.3868,-21.6394
4676,0.245093,1.16766e+10,-18.1522,-19.3875,-20.0962,-20.4122,-20.8245
4969,0.306840,7.51637e+10,-19.6873,-21.3686,-22.1034,-22.4820,-22.9231
5103,0.161980,8.27666e+08,-17.7173,-18.2184,-18.5627,-18.5109,-18.4737
5199,0.221974,3.06702e+09,-17.2340,-18.5558,-19.0448,-19.1158,-19.6963
