#SN	age	age-uncert	age+uncert
1166	2.247269630432129	1.0449612140655518	0.5020372271537781
1253	3.1879591941833496	1.7951992750167847	1.3277945518493652
1371	0.018266914412379265	0.0012231857981532812	0.0009298059158027172
1580	0.006569737568497658	0.0003855482500512153	0.00043169112177565694
1688	0.5841857194900513	0.04443315044045448	0.039705485105514526
2017	1.643418550491333	0.0973108559846878	0.08332575857639313
2165	1.4011757373809814	0.7730380296707153	0.6798635721206665
2330	0.009380084462463856	0.06127892807126045	0.005257845390588045
2372	1.8473438024520874	0.24143366515636444	0.23067139089107513
2422	1.283154845237732	1.26261568069458	0.6592779755592346
2533	0.9175532460212708	0.8481301665306091	0.3778345286846161
2635	2.3744149208068848	0.6001979112625122	0.48423099517822266
2789	1.7788662910461426	0.19627805054187775	0.12692081928253174
3080	1.9203147888183594	0.33613041043281555	0.29438668489456177
3256	1.437578797340393	0.30086156725883484	0.24372084438800812
3377	1.42289137840271	1.0938748121261597	0.6638222932815552
3451	1.8255163431167603	0.1535729318857193	0.11447527259588242
3452	1.5932666063308716	0.7269600033760071	0.6800055503845215
3592	1.7279475927352905	0.11117087304592133	0.10350806266069412
4000	1.6468970775604248	0.0552094541490078	0.04571065679192543
4046	3.1143460273742676	2.494516611099243	1.6559405326843262
4241	1.4202454090118408	0.808681845664978	0.6859199404716492
4577	2.2658731937408447	1.5083783864974976	0.9211787581443787
4679	1.2581250667572021	0.8019778728485107	0.6848487257957458
5103	2.150481700897217	1.4052499532699585	1.173466682434082
5183	1.1033761501312256	0.89921635389328	0.5780616998672485
5391	1.26018488407135	0.7834105491638184	0.6327850222587585
5533	2.106874465942383	0.4517052471637726	0.40858757495880127
5736	0.7114957571029663	0.23021933436393738	0.14600591361522675
5737	1.3641176223754883	0.6523803472518921	0.5957074165344238
5944	5.364638805389404	0.1419522762298584	0.13646556437015533
5957	0.6685883402824402	0.04138588905334473	0.0400940477848053
6100	0.664463996887207	0.08467358350753784	0.07498862594366074
6196	1.792955756187439	0.5723474025726318	0.12303389608860016
6777	1.7108848094940186	0.10622260719537735	0.07560913264751434
6936	0.01181509718298912	0.013877229765057564	0.002378306817263365
7143	0.7140942215919495	0.1740654557943344	0.0929732695221901
