# sn id, amp_1, mean_1, std_1
5.916000000000000000e+03,1.000000000000000000e+00,5.346779205898414489e+00,2.015147193976105644e+00
1.544300000000000000e+04,1.000000000000000000e+00,5.085684328760162742e+00,1.161574646693975810e+00
5.751000000000000000e+03,1.000000000000000000e+00,5.359391905053145777e+00,2.427242910510106544e+00
2.076400000000000000e+04,1.000000000000000000e+00,5.518179967671557051e+00,1.700315497010312704e+00
3.901000000000000000e+03,1.000000000000000000e+00,1.266666287985608541e+00,3.444294328896166379e-01
3.087000000000000000e+03,1.000000000000000000e+00,2.554166254137908876e+00,1.003480799587690653e+00
2.052800000000000000e+04,1.000000000000000000e+00,7.542300012443265089e+00,3.491069348311577780e+00
1.117200000000000000e+04,1.000000000000000000e+00,4.370735524892324086e+00,4.740361843486802784e-01
8.555000000000000000e+03,1.000000000000000000e+00,3.977161785664260041e+00,1.269353547434153739e+00
8.719000000000000000e+03,1.000000000000000000e+00,4.512566569556263119e+00,1.019911745902054800e+00
5.890000000000000000e+03,1.000000000000000000e+00,4.816808738041549631e+00,1.924912111567556261e+00
1.478400000000000000e+04,1.000000000000000000e+00,6.827011209819741744e+00,2.501649902823189553e+00
1.977500000000000000e+04,1.000000000000000000e+00,5.410749342739345380e+00,3.188768805840177745e+00
1.481600000000000000e+04,1.000000000000000000e+00,7.385954019182290331e+00,3.734508190200292788e+00
1.545900000000000000e+04,1.000000000000000000e+00,1.865376008556026921e+00,7.832815984616027238e-01
5.944000000000000000e+03,1.000000000000000000e+00,5.997814374513752433e+00,7.181150738113514231e-01
5.550000000000000000e+03,1.000000000000000000e+00,1.498463968909215405e+00,6.035660256760899678e-01
1.032000000000000000e+03,1.000000000000000000e+00,6.951483467318539056e+00,3.615329355902605180e+00
2.012500000000000000e+04,1.000000000000000000e+00,6.875294864856890342e+00,3.602881923083885773e+00
1.977200000000000000e+04,1.000000000000000000e+00,7.210292668552009232e+00,1.280507488665118654e+00
1.618500000000000000e+04,1.000000000000000000e+00,7.139999828205620958e+00,1.489725773603060466e+00
7.876000000000000000e+03,1.000000000000000000e+00,1.410975624098455006e+00,6.143348949777335255e-01
6.422000000000000000e+03,1.000000000000000000e+00,3.244947389578172192e+00,1.197718756049668265e+00
1.620600000000000000e+04,1.000000000000000000e+00,6.669962125194824232e+00,3.234923559312990804e+00
1.313500000000000000e+04,1.000000000000000000e+00,9.099413789093373950e+00,1.620161768221421550e+00
