#SNID	objid	ra	dec	PetroRad_r	u	g	r	i	z	err_u	err_g	err_r	err_i	err_z	redshift
#		degree	degree	arcsec	mag	mag	mag	mag	mag	mag	mag	mag	mag	mag	
6936	1237656567579870979	323.233882079	-0.700060094909	4.233948	21.16635	20.06941	19.27059	18.93154	18.65802	0.2213052	0.03579038	0.02705992	0.03152927	0.09376179	0.1801979
7143	1237666407899070761	345.2623369	-0.206892514832	2.521253	21.90667	21.14959	20.44024	19.91326	19.4861	0.3102175	0.06018122	0.05099689	0.04460483	0.1177674	0.3051585
7847	1237666407919780198	32.4596977981	-0.061702403191	2.035807	22.20082	20.48833	19.42964	18.92905	18.64146	0.2979102	0.02887622	0.01867731	0.0170951	0.0474696	0.2128041
8213	1237656906354000314	357.521088751	-0.921527774274	3.563407	22.52747	21.68828	20.40563	19.7515	19.32203	0.4247918	0.1075074	0.04518262	0.04026719	0.1084794	0.1861762
8598	1237657070628962633	42.6674739977	-0.0667234767225	2.220467	22.0433	21.73853	20.71698	20.43423	19.88966	0.2902813	0.09623244	0.06447674	0.08090861	0.1872628	0.361168
8719	1237663783127023965	7.72191919728	-0.718633658324	2.721117	20.7746	20.1226	19.75309	19.4227	19.40837	0.1109491	0.03223075	0.03532319	0.03791659	0.1191841	0.1175697
9207	1237663783132004915	19.0833666307	-0.807437589466	2.598875	22.60718	21.3252	20.07093	19.68342	19.4479	0.4676534	0.07331388	0.04283893	0.04313283	0.1060536	0.3502996
9457	1237663543685415622	335.814621786	0.25369530129	2.49449	22.8448	20.60979	19.20521	18.60934	18.18768	0.6215755	0.0382295	0.01990652	0.01723718	0.04769683	0.2582374
10550	1237663275775754943	349.675826174	-1.20467149762	1.993178	22.06655	21.05715	20.20313	19.85691	19.44593	0.2197738	0.04552277	0.03032496	0.03394819	0.08657342	0.3008438
12781	1237657189833834706	5.4078778132	-1.01061786606	6.557964	19.42952	17.3858	16.41786	15.99325	15.66507	0.05690448	0.006244213	0.004405175	0.004292013	0.008970502	0.08430576
