SURVEY:  LOWZ                
SNID:    1995al        
IAUC:    1995al                
RA:        147.727417  deg
DECL:       33.558121  deg
MWEBV:    0.014  MW E(B-V)
REDSHIFT_FINAL:  0.0059 +- 0.0001  (CMB)
SEARCH_PEAKMJD:  50028.961
FILTERS:    UBVRIX              
 
# ====================================== 
# TERSE LIGHT CURVE OUTPUT 
# 
NOBS:  97
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR 
OBS: 50088.898  R  NULL    67223.      1857.4      15.431   0.030
OBS: 50088.898  I  NULL    71661.      1980.1      15.362   0.030
OBS: 50103.801  B  NULL    18359.      507.27      16.840   0.030
OBS: 50103.801  V  NULL    36881.      1019.1      16.083   0.030
OBS: 50103.801  R  NULL    43172.      1590.5      15.912   0.040
OBS: 50103.801  I  NULL    47775.      1760.1      15.802   0.040
OBS: 50136.898  B  NULL    12218.      450.13      17.282   0.040
OBS: 50136.898  V  NULL    17766.      654.54      16.876   0.040
OBS: 50136.898  R  NULL    17193.      950.14      16.912   0.060
OBS: 50136.898  I  NULL    13869.      766.42      17.145   0.060
OBS: 50161.699  B  NULL    7603.3      490.20      17.797   0.070
OBS: 50161.699  V  NULL    10590.      682.74      17.438   0.070
OBS: 50161.699  R  NULL    8460.6      779.25      17.681   0.100
OBS: 50161.699  I  NULL    6448.8      653.35      17.976   0.110
END: 
