SURVEY:  LOWZ                
SNID:    1994ae        
IAUC:    1994ae                
RA:        161.752823  deg
DECL:       17.273630  deg
MWEBV:    0.030  MW E(B-V)
REDSHIFT_FINAL:  0.0055 +- 0.0001  (CMB)
SEARCH_PEAKMJD:  49684.660
FILTERS:    UBVRIX              
 
# ====================================== 
# TERSE LIGHT CURVE OUTPUT 
# 
NOBS: 162
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR 
OBS: 49715.930  B  NULL    63621.      2461.1      15.491   0.042
OBS: 49715.930  V  NULL   0.17092E+06  4565.3      14.418   0.029
OBS: 49715.930  R  NULL   0.23486E+06  8652.4      14.073   0.040
OBS: 49715.930  I  NULL   0.30960E+06  19961.      13.773   0.070
OBS: 49721.031  B  NULL    48306.      1779.7      15.790   0.040
OBS: 49721.031  V  NULL   0.13465E+06  7316.9      14.677   0.059
OBS: 49721.031  R  NULL   0.17669E+06  3254.7      14.382   0.020
OBS: 49721.031  I  NULL   0.25165E+06  8344.1      13.998   0.036
OBS: 49725.012  B  NULL    41725.      1383.5      15.949   0.036
OBS: 49725.012  V  NULL   0.10549E+06  2137.5      14.942   0.022
OBS: 49725.012  R  NULL   0.13983E+06  2447.0      14.636   0.019
OBS: 49725.012  I  NULL   0.19843E+06  4386.2      14.256   0.024
OBS: 49726.961  U  NULL    35876.      6476.4      16.113   0.196
OBS: 49726.961  B  NULL    39958.      2208.1      15.996   0.060
OBS: 49726.961  V  NULL   0.10309E+06  1709.0      14.967   0.018
OBS: 49726.961  R  NULL   0.13366E+06  2462.1      14.685   0.020
OBS: 49726.961  I  NULL   0.17539E+06  4361.5      14.390   0.027
OBS: 49730.328  B  NULL    34995.      322.31      16.140   0.010
OBS: 49730.328  V  NULL    85507.      787.55      15.170   0.010
OBS: 49730.328  R  NULL   0.11066E+06  1019.2      14.890   0.010
OBS: 49730.328  I  NULL   0.13552E+06  1248.2      14.670   0.010
OBS: 49740.852  B  NULL    31275.      1209.8      16.262   0.042
OBS: 49740.859  V  NULL    66252.      1830.6      15.447   0.030
OBS: 49740.859  R  NULL    79506.      2563.0      15.249   0.035
OBS: 49740.859  I  NULL    95675.      2643.6      15.048   0.030
OBS: 49744.941  B  NULL    29107.      1099.2      16.340   0.041
OBS: 49744.941  V  NULL    60758.      1790.7      15.541   0.032
OBS: 49744.941  R  NULL    72979.      1478.8      15.342   0.022
OBS: 49744.941  I  NULL    83023.      2447.0      15.202   0.032
OBS: 49745.770  B  NULL    29107.      1072.3      16.340   0.040
OBS: 49745.770  V  NULL    57544.      1590.0      15.600   0.030
OBS: 49745.770  R  NULL    69183.      1911.6      15.400   0.030
OBS: 49745.770  I  NULL    73790.      2038.9      15.330   0.030
OBS: 49745.910  B  NULL    28893.      1330.6      16.348   0.050
OBS: 49745.922  V  NULL    58130.      1392.0      15.589   0.026
OBS: 49745.922  R  NULL    70599.      1495.6      15.378   0.023
OBS: 49745.922  I  NULL    78487.      2385.6      15.263   0.033
OBS: 49749.988  B  NULL    28029.      1084.2      16.381   0.042
OBS: 49749.988  V  NULL    54954.      2632.0      15.650   0.052
OBS: 49753.699  B  NULL    24434.      450.10      16.530   0.020
OBS: 49753.699  V  NULL    46559.      857.64      15.830   0.020
OBS: 49753.699  R  NULL    50582.      931.76      15.740   0.020
OBS: 49753.699  I  NULL    52000.      957.87      15.710   0.020
OBS: 49768.789  B  NULL    21086.      971.06      16.690   0.050
OBS: 49768.789  V  NULL    33113.      1524.9      16.200   0.050
OBS: 49768.789  R  NULL    35645.      1641.5      16.120   0.050
OBS: 49768.789  I  NULL    33729.      1242.6      16.180   0.040
OBS: 49769.738  B  NULL    21979.      1417.0      16.645   0.070
OBS: 49769.738  V  NULL    33389.      1783.6      16.191   0.058
OBS: 49769.738  R  NULL    35124.      2038.1      16.136   0.063
OBS: 49769.738  I  NULL    32689.      2107.5      16.214   0.070
OBS: 49775.461  B  NULL    17378.      1120.4      16.900   0.070
OBS: 49775.461  V  NULL    30761.      1416.6      16.280   0.050
OBS: 49775.461  R  NULL    31333.      1442.9      16.260   0.050
OBS: 49775.461  I  NULL    23768.      875.66      16.560   0.040
OBS: 49776.270  V  NULL    28054.      516.78      16.380   0.020
OBS: 49776.461  B  NULL    17378.      1120.4      16.900   0.070
OBS: 49776.461  V  NULL    30200.      1390.7      16.300   0.050
OBS: 49776.461  R  NULL    28314.      1564.7      16.370   0.060
OBS: 49776.461  I  NULL    22284.      1026.2      16.630   0.050
OBS: 49783.859  B  NULL    18014.      1045.2      16.861   0.063
OBS: 49783.859  V  NULL    24188.      1537.2      16.541   0.069
OBS: 49783.859  R  NULL    23703.      1571.8      16.563   0.072
OBS: 49805.879  B  NULL    12764.      964.03      17.235   0.082
OBS: 49805.879  V  NULL    16114.      1231.8      16.982   0.083
OBS: 49805.879  R  NULL    13354.      873.24      17.186   0.071
OBS: 49805.879  I  NULL    11355.      836.69      17.362   0.080
OBS: 49807.539  I  NULL    11482.      422.99      17.350   0.040
OBS: 49827.680  V  NULL    11066.      713.47      17.390   0.070
OBS: 49827.680  R  NULL    8871.6      571.97      17.630   0.070
OBS: 49827.680  I  NULL    6309.6      348.68      18.000   0.060
OBS: 49831.672  B  NULL    7585.8      419.20      17.800   0.060
OBS: 49831.672  V  NULL    7798.3      359.12      17.770   0.050
OBS: 49831.672  R  NULL    6982.3      321.55      17.890   0.050
OBS: 49866.672  B  NULL    4130.5      266.30      18.460   0.070
OBS: 49866.672  V  NULL    4405.5      284.04      18.390   0.070
OBS: 49866.672  R  NULL    2964.8      136.54      18.820   0.050
OBS: 50101.770  B  NULL    263.03      48.451      21.450   0.200
OBS: 50101.770  V  NULL    218.78      30.225      21.650   0.150
OBS: 50135.672  B  NULL    175.39      48.462      21.890   0.300
OBS: 50135.672  V  NULL    145.88      22.841      22.090   0.170
END: 
