This is the global photometry for the host galaxies of many SDSS-II SN
From DR12 via astroquery 0.3.4, by hand on SkyServer DR13, and Gupta 2011 redshift if none was found before

SNID	objid	ra	dec	PetroRad_r	u	g	r	i	z	err_u	err_g	err_r	err_i	err_z	redshift
		degree	degree	arcsec	mag	mag	mag	mag	mag	mag	mag	mag	mag	mag	
19211	1237663542601713967	313.153884434	-0.454136799952	1.862546	23.3909	23.09085	21.46745	21.24239	20.93077	0.7097663	0.2486411	0.101626	0.1329058	0.3768684	0.4199
19230	1237663544220976069	332.891008975	0.764738663984	1.659876	23.07475	21.00655	19.82911	19.30609	19.03012	0.4123914	0.03784298	0.02221654	0.0220868	0.05471252	0.2214824
19282	1237657190367953277	359.072974014	-0.503881952209	1.046311	24.51901	22.69625	22.15669	21.90885	22.12992	0.9240564	0.1326482	0.1225592	0.1400778	0.5206324	0.18641
19341	1237666339725508846	15.860859345	0.331611907725	1.886695	21.99418	20.27852	18.9242	18.41809	18.06971	0.2497173	0.02312493	0.01221013	0.01131707	0.03017799	0.2367465
19353	1237657586562105551	43.1132643414	0.251742827414	5.573225	20.3017	19.05205	18.09062	17.59639	17.16113	0.1158758	0.02039983	0.01189691	0.01066807	0.02864648	0.1540343
19425	1237663456705512061	323.508410645	-0.740647458691	1.660658	24.53884	21.28874	19.93589	19.39097	18.98161	1.189843	0.05149591	0.02484142	0.02309133	0.05603784	0.2113821
19543	1237666408441512441	357.908385724	0.279841654401	1.083588	23.13515	22.05235	21.56426	21.22794	21.07422	0.5016379	0.0726131	0.07144827	0.07240546	0.2535835	0.123
19596	1237666301630874409	53.884621953	0.703724109	7.359691	22.02728	21.66943	20.6683	20.69033	20.69701	0.5465932	0.185457	0.1097855	0.1904743	0.6689063	0.292
19604	1237657192518124388	5.32625278835	1.07389043111	7.357391	26.64384	23.19485	21.51237	20.91891	20.69182	0.4654842	0.324251	0.1172571	0.1074362	0.3067217	0.296
19626	1237663783139344685	35.9277492207	-0.826465024175	4.950312	19.50961	18.34094	17.76481	17.39554	17.16718	0.05327634	0.01044617	0.009069636	0.009585767	0.02435906	0.1131836
19632	1237663784215052647	40.2866373045	0.144248303062	2.036443	25.54452	21.30268	19.72688	19.13508	18.81948	0.9013187	0.0584015	0.0240519	0.02023698	0.06061001	0.3147019
19658	1237663783664419072	8.90324211345	-0.232563856891	2.969747	24.28153	22.87168	22.48265	21.86739	21.9671	0.7561184	0.1730402	0.1748214	0.1372789	0.5115592	0.2
19757	1237678617413223090	349.481435869	1.22362100899	1.510019	25.34663	22.3431	21.14599	20.71112	20.48993	0.7169423	0.0956639	0.05058203	0.05007898	0.1437784	0.2189039
19775	1237678617399853623	318.956164723	0.651219256748	2.212775	22.37235	20.24576	19.13218	18.59188	18.2387	0.3607558	0.02842434	0.01592627	0.01462633	0.03493028	0.1379
19794	1237666408442101951	359.319086404	0.248487256651	2.329438	23.5216	20.68705	18.97239	18.41257	17.98693	1.006648	0.0368734	0.01388709	0.01205263	0.030578	0.2969775
