This is the global photometry for the host galaxies of many SDSS-II SN
From DR12 via astroquery 0.3.4, by hand on SkyServer DR13, and Gupta 2011 redshift if none was found before

SNID	objid	ra	dec	PetroRad_r	u	g	r	i	z	err_u	err_g	err_r	err_i	err_z	redshift
		degree	degree	arcsec	mag	mag	mag	mag	mag	mag	mag	mag	mag	mag	
14481	1237663784198537430	2.68147977336	0.201848668585	3.206837	21.33033	19.9877	18.63057	18.1437	17.73443	0.1738514	0.02574236	0.01343793	0.01221079	0.03195387	0.2435799
14735	1237657071162491673	35.1584987873	0.348125353136	2.240688	21.49942	20.88366	20.05409	19.72176	19.26117	0.1954496	0.04653777	0.03613267	0.04610242	0.1130914	0.3004555
14782	1237656568112809106	314.234083065	-0.279167995769	4.638895	21.34411	19.08615	17.8458	17.25345	16.80995	0.2984986	0.01932154	0.01033791	0.009064808	0.02289754	0.1604
14815	1237678617399919890	319.071666976	0.559514964711	1.752007	22.60095	21.68918	21.23025	21.03263	20.71963	0.3270079	0.06817164	0.06291687	0.07771385	0.2097815	0.1363
14846	1237663784200765533	7.66260963642	0.142007357894	3.219068	20.23331	19.11199	18.18572	17.7424	17.45787	0.0753317	0.0144009	0.01031604	0.009763404	0.02677575	0.2247809
14871	1237663238740771608	54.2769479704	0.00925588421488	1.655447	22.50686	21.10634	20.56067	20.27496	20.18101	0.3007411	0.0387665	0.03525475	0.03838735	0.1468233	0.1276
14979	1237660241926423120	54.9465459111	0.992111819454	3.870229	21.66706	20.21586	19.47246	19.12412	18.92393	0.2834147	0.03136478	0.02530407	0.02790559	0.08400077	0.1771
15132	1237663479257170439	329.699951541	0.198780924456	5.69943	20.5601	19.70379	19.50043	19.26174	20.63	0.1666907	0.03374931	0.04403458	0.05085813	0.7420868	0.1543813
15201	1237663479260643634	337.518923987	0.00312269908755	4.90199	22.11245	19.54127	18.08088	17.57056	17.21292	0.5504813	0.02497078	0.01173328	0.01088883	0.03056923	0.2087961
15203	1237663784204304772	15.7347523959	0.183005679652	1.050369	24.03321	21.35952	20.16243	19.78087	19.60562	0.6669382	0.04368657	0.02289098	0.02292554	0.07941757	0.2044248
15213	1237657586029560349	53.019231804	-0.100246005	2.508982	22.05468	21.13312	20.019	19.52238	19.09252	0.2873496	0.05883313	0.03391135	0.02953357	0.07629579	0.3112
15217	1237657071157051793	22.6341327921	0.220985028018	1.326417	23.35881	22.14532	20.64467	20.05009	19.63892	0.603401	0.09265663	0.03809391	0.03263264	0.09310809	0.3813556
15219	1237666408457568503	34.6107546157	0.226136651692	2.420649	22.42177	20.26553	19.14157	18.6277	18.21343	0.4651425	0.02503623	0.01586775	0.01469306	0.04016288	0.2474863
15229	1237657192517927319	4.83199554104	1.09063526004	1.704771	22.11619	22.00525	21.47721	21.27924	21.48262	0.2446517	0.09228656	0.08600924	0.1095682	0.4465632	0.2268
15259	1237663478723773428	337.544223051	-0.407811595043	2.969604	23.07445	22.63071	21.53652	21.15076	20.30065	0.9945707	0.3097585	0.1853124	0.1930895	0.35842	0.21003
