This is the global photometry for the host galaxies of many SDSS-II SN
From DR12 via astroquery 0.3.4, by hand on SkyServer DR13, and Gupta 2011 redshift if none was found before

SNID	objid	ra	dec	PetroRad_r	u	g	r	i	z	err_u	err_g	err_r	err_i	err_z	redshift
		degree	degree	arcsec	mag	mag	mag	mag	mag	mag	mag	mag	mag	mag	
19818	1237663784749695336	35.2665213551	0.496523848836	1.681845	21.81403	20.97969	20.2441	19.9221	19.69515	0.1461989	0.03854977	0.02844367	0.03307085	0.08659701	0.3050625
19913	1237663478722069396	333.762229062	-0.341716152005	3.931963	21.55797	20.47545	19.80938	19.40515	19.22687	0.2410149	0.04503584	0.03777483	0.03893445	0.1314789	0.2038
19940	1237663457238844599	315.393119801	-0.269714640	1.688982	23.22525	21.64424	20.15831	19.56538	19.33935	0.5879621	0.06532733	0.0280775	0.02427609	0.0765544	0.1571
19969	1237663783674511434	31.9098306358	-0.324044928573	2.538702	20.07896	19.01758	18.42055	18.06198	17.92219	0.05299347	0.01165999	0.01022215	0.01022656	0.03014648	0.1752423
19990	1237663783675757163	34.8060365433	-0.384528407689	1.631131	22.72924	21.51328	20.19329	19.64313	19.31405	0.3024994	0.05383492	0.02641611	0.0239844	0.06370931	0.2498238
20040	1237678617404179648	328.879491187	0.815099919513	3.69166	24.79467	22.37298	21.01958	20.60644	20.22809	0.8862642	0.1066639	0.04667489	0.04873215	0.1284936	0.2880225
20048	1237663544223793475	339.308118076	0.736299346268	1.680441	22.45725	20.52277	19.11627	18.56764	18.15082	0.2806341	0.02778204	0.01348696	0.01316107	0.02859662	0.1853194
20064	1237656906354458736	358.586263268	-0.917233632305	7.011778	19.6151	17.72335	16.69597	16.15476	15.72302	0.08167417	0.008811221	0.005813442	0.00545459	0.0117444	0.1048793
20106	1237666408436531805	346.554130849	0.328923944593	1.970444	22.98026	22.73739	21.53606	21.01967	20.36471	0.6050032	0.1822456	0.09451801	0.08184384	0.193787	0.333
20111	1237666408439940055	354.394056666	0.24743293113	2.891544	21.71431	20.72754	19.33979	18.80676	18.45593	0.3135162	0.04779791	0.02312621	0.01993845	0.05877463	0.2442132
20184	1237657192515699367	359.788454565	1.15860707349	2.394908	24.45076	22.16832	21.59091	21.21782	20.67749	1.479583	0.1316272	0.1268885	0.1409266	0.3169779	0.324
20227	1237657190900433560	349.12006923	-0.0989206488373	3.455497	22.12607	20.50194	19.27294	18.7799	18.40524	0.4899949	0.05451229	0.03009089	0.02805344	0.0799682	0.2773319
20350	1237663542064709921	312.806790578	-0.957770215134	4.602063	20.19817	18.10501	16.9264	16.44963	16.00995	0.07965598	0.008790695	0.005432385	0.005259637	0.01080545	0.1293897
20364	1237657069547815314	25.756576211	-0.945186177	1.761433	22.36662	20.82901	19.95724	19.43786	19.22264	0.3004593	0.03872797	0.0257728	0.02462275	0.0739807	0.2181
20376	1237663542604465540	319.395512791	-0.52396584998	1.840409	23.12435	20.80838	19.52725	19.02627	18.55577	0.5681949	0.03572154	0.020246	0.01962833	0.04569516	0.2106218
20821	1237666302168531341	55.5723990191	1.06226634879	3.634574	22.40344	20.76072	19.76997	19.16553	18.77378	0.495559	0.04920246	0.02932914	0.0276008	0.07222727	0.1959
