This is the global photometry for the host galaxies of many SDSS-II SN
From DR12 via astroquery 0.3.4, by hand on SkyServer DR13, and Gupta 2011 redshift if none was found before

SNID	objid	ra	dec	PetroRad_r	u	g	r	i	z	err_u	err_g	err_r	err_i	err_z	redshift
		degree	degree	arcsec	mag	mag	mag	mag	mag	mag	mag	mag	mag	mag	
17875	1237678617426985715	20.9837307413	1.25508051858	2.10276	22.26923	21.26346	20.10038	19.4797	19.0833	0.307843	0.05880799	0.03248988	0.02681312	0.07019139	0.2323741
17884	1237678617429934631	27.5993375313	1.17235156458	2.521523	21.93914	20.50513	19.60212	19.28522	18.77657	0.3444695	0.04668895	0.03013226	0.03587648	0.08462937	0.2389854
18091	1237663784744517908	23.3679004287	0.524610111499	2.389998	21.13767	20.36583	19.36181	18.97578	18.6021	0.1183782	0.03315561	0.02143531	0.02269734	0.04911513	0.3710418
18241	1237656567575150849	312.387540826	-0.761967394223	2.473871	21.3317	21.11976	19.5841	19.20459	19.583	0.2010471	0.07040887	0.02866432	0.02822022	0.1525065	0.095
18323	1237657191980466833	3.4286627877	0.652321749237	1.956084	22.94199	21.15197	20.69444	20.25058	20.24566	0.4548156	0.04704316	0.04529073	0.04708305	0.1606883	0.1540543
18375	1237657190910263423	11.5163981332	-0.0106771298027	2.404521	20.47581	18.99098	18.17496	17.80427	17.52045	0.07583167	0.01052739	0.008178961	0.00816783	0.02106299	0.1105329
18415	1237678617407979650	337.477514386	1.05846859928	2.987649	20.93438	18.74436	17.63195	17.14851	16.75078	0.1217804	0.01169368	0.006792123	0.006412951	0.01309396	0.130779
18485	1237663783144653377	47.959020493	-0.692644421283	3.207483	21.48854	20.45189	19.28364	18.87724	18.48596	0.1951076	0.04054406	0.02182648	0.02235475	0.05596079	0.282
18486	1237645943978394148	55.1812195004	1.00452553443	1.409858	24.53658	23.22189	22.14915	21.93489	21.27962	0.7405898	0.1880787	0.1070944	0.1336172	0.2564292	0.2403
18602	1237663479798104844	338.983657649	0.60908083857	2.267069	22.12222	21.5463	20.86587	20.52316	20.22121	0.2624645	0.07687235	0.06217256	0.07317581	0.1901796	0.1383328
18604	1237663479798956397	340.92069295	0.420498484315	2.014508	21.70114	19.56483	18.26293	17.76919	17.43394	0.1764625	0.01587499	0.008403083	0.008374461	0.04299584	0.1761
18612	1237663784739668118	12.2880200749	0.596611969687	5.552385	19.36209	17.75431	16.87933	16.42729	16.13127	0.05254259	0.007894256	0.005710723	0.005834108	0.01222767	0.1148299
18617	1237663278458405419	345.761419321	0.84938344214	3.082241	22.77598	21.84737	20.88876	20.63168	20.263	0.6672189	0.1249246	0.086323	0.1077096	0.2949204	0.3273875
18650	1237663479256646245	328.447231853	0.0150344471961	1.763469	22.08381	21.20931	20.8066	20.49407	20.32584	0.2338015	0.04595681	0.0486057	0.05329907	0.196172	0.1137208
18721	1237657190906528523	3.07776173407	-0.0776416241575	2.899684	21.84579	20.89012	19.63187	19.04569	18.62213	0.2553398	0.0506912	0.02707452	0.023056	0.06003339	0.4031204
