This is the global photometry for the host galaxies of many SDSS-II SN
From DR12 via astroquery 0.3.4, by hand on SkyServer DR13, and Gupta 2011 redshift if none was found before

SNID	objid	ra	dec	PetroRad_r	u	g	r	i	z	err_u	err_g	err_r	err_i	err_z	redshift
		degree	degree	arcsec	mag	mag	mag	mag	mag	mag	mag	mag	mag	mag	
3377	1237666302167876040	54.156173870	1.078836804	2.527235	23.10324	22.42672	21.71249	21.14589	20.4341	0.6830797	0.1480101	0.1212354	0.1200436	0.2377102	0.2451
3451	1237663544221499805	334.068563744	0.707807403701	2.160984	22.49495	20.65634	19.38891	18.87961	18.53032	0.3106368	0.03239818	0.01764599	0.01777361	0.04136081	0.2498281
3452	1237663544221762366	334.671297337	0.639503507102	2.91504	22.46475	21.75428	21.30992	21.12523	21.65127	0.2865183	0.07560987	0.07956307	0.1109611	0.5457534	0.2311556
3592	1237663204922491010	19.0529456985	0.790553125677	6.08462	19.14152	17.63061	16.88384	16.474	16.1769	0.04286669	0.006507197	0.005130475	0.005563686	0.01263956	0.0864215
4000	1237663783674118396	31.0167112955	-0.366321948246	2.92297	21.20906	20.08503	19.03734	18.62938	18.32786	0.1491585	0.02822539	0.01678015	0.01656647	0.04647773	0.2776726
4046	1237657191976534239	354.498303271	0.642186753189	1.650477	24.43521	23.64643	23.09146	22.00931	22.34065	0.9685579	0.3417213	0.3044225	0.186738	0.6823981	0.277
4241	1237657189836849751	12.2375748868	-0.905510679971	1.039272	23.8695	23.73317	22.56905	23.06314	22.93136	0.7513185	0.3398091	0.1872007	0.3888679	0.6991155	0.332
4577	1237666408459272609	38.4757954225	0.280883181904	1.632146	25.38365	22.85183	21.30693	20.78209	20.28868	0.923133	0.1755379	0.07170585	0.06783167	0.1859855	0.3635766
4679	1237663204923605473	21.5283084529	0.676933954748	7.359443	23.28771	22.649	22.30453	22.698	22.11893	0.6893975	0.1876797	0.2103847	0.4904625	0.8311786	0.3324
5103	1237657191978893955	359.88435201	0.736853739454	2.127625	21.73764	21.25979	20.83803	20.6519	20.81582	0.1786033	0.05501135	0.05805276	0.08203574	0.2867578	0.16198
5183	1237666301630743172	53.4536530682	0.709376230763	2.197615	23.60357	23.54282	22.12698	22.2482	22.12872	0.7424362	0.3573743	0.1524432	0.2702028	0.7285082	0.3898
5391	1237663237129306431	52.3423443533	-1.09525153131	2.02592	22.56928	22.30993	21.75145	22.20141	21.18062	0.3141048	0.1257808	0.108466	0.2341586	0.3433931	0.3009
5533	1237663543682270143	328.669980608	0.41278732678	3.632333	21.47014	20.35664	19.66586	19.65123	19.33991	0.253011	0.04042178	0.05304724	0.0923406	0.178478	0.2202498
5736	1237663783133643424	22.862399516	-0.633097262	1.596691	24.1877	21.81162	21.33193	21.03511	20.58174	0.8871586	0.07471376	0.06652732	0.07325599	0.1705257	0.253
5737	1237666407378715001	22.8571491241	-0.6033283472	1.860247	22.63923	22.36807	21.5878	21.31141	21.38028	0.4483832	0.1343459	0.101367	0.1179799	0.4418351	0.393
