This is the global photometry for the host galaxies of many SDSS-II SN
From DR12 via astroquery 0.3.4, by hand on SkyServer DR13, and Gupta 2011 redshift if none was found before

SNID	objid	ra	dec	PetroRad_r	u	g	r	i	z	err_u	err_g	err_r	err_i	err_z	redshift
		degree	degree	arcsec	mag	mag	mag	mag	mag	mag	mag	mag	mag	mag	
15287	1237656567043327064	323.960657274	-1.05895672587	2.133034	23.28364	21.54174	20.18376	19.65128	19.21273	0.7188835	0.07767871	0.03377952	0.03204065	0.08199285	0.2376857
15354	1237657190908166490	6.77425793277	-0.125964282057	2.073267	22.5002	20.65193	19.28042	18.78623	18.55365	0.3590808	0.03451316	0.01697791	0.0157376	0.04672568	0.2221
15356	1237663543685087893	335.053311219	0.409933003817	1.881177	23.21695	22.10005	20.70348	20.09536	19.50708	0.5701784	0.09771933	0.04710397	0.03994947	0.1002772	0.2748803
15369	1237666407363773122	348.833077871	-0.562641663847	0.9394418	23.37029	23.95728	22.84968	22.86153	22.16009	0.6320745	0.3687863	0.2117678	0.2806696	0.4655734	0.232
15383	1237666407920501314	34.1496932546	-0.155285346814	4.517228	23.03376	21.57556	20.22823	19.686	19.39019	0.5638565	0.06504106	0.02970399	0.02652338	0.08486363	0.3160464
15421	1237663784749039900	33.7413200054	0.602716237483	3.628544	20.39871	19.49338	18.89788	18.59686	18.55008	0.08121447	0.02004728	0.01707548	0.0204254	0.06043803	0.1853683
15425	1237663239278231823	55.5610761212	0.478357705445	1.829214	21.65033	19.66519	18.67096	18.2415	17.96537	0.1491307	0.01587913	0.01010963	0.01050846	0.02311112	0.1598923
15440	1237663784214790662	39.7206045448	0.0901050306108	2.398941	22.33752	20.92472	19.75747	19.21784	18.91232	0.3229613	0.04391437	0.02342204	0.02095248	0.06567531	0.2621589
15443	1237660240313581839	49.8674396937	-0.318010567152	2.778901	20.89535	19.73092	18.97429	18.62114	18.37915	0.1347577	0.02167301	0.01776268	0.01891345	0.0701528	0.1819083
15453	1237663542067725571	319.668391123	-1.02424078233	1.494762	23.79735	22.40929	21.92089	21.5773	21.86302	0.8198582	0.1358321	0.1662507	0.1659489	0.7008631	0.1837
15456	1237656906342727883	331.866880974	-0.903804048	1.934205	22.23604	21.1415	20.01936	19.49234	19.17024	0.2956677	0.05353856	0.0283965	0.02657031	0.07555109	0.3821
15459	1237656906346660220	340.701448831	-0.901774718132	1.78836	21.87786	20.7696	20.35241	20.22732	20.21357	0.2179196	0.03781286	0.03597826	0.04876509	0.1884158	0.1267946
15461	1237663542607741904	326.848227059	-0.49474951917	3.966842	21.41769	19.88201	19.02201	18.5571	18.3778	0.223857	0.0284331	0.02228073	0.02739852	0.0643513	0.1862115
15466	1237663543140550186	317.645441324	-0.12269627524	2.165302	22.1804	20.48982	19.55581	19.04549	18.69418	0.2769447	0.03076815	0.02470702	0.02260386	0.06371231	0.2461435
15467	1237663543141597901	320.020099128	-0.177351533968	3.454175	20.37204	19.23989	18.5768	18.26406	18.10176	0.07747072	0.01508557	0.01404471	0.01620945	0.05042912	0.210412
