This is the global photometry for the host galaxies of many SDSS-II SN
From DR12 via astroquery 0.3.4, by hand on SkyServer DR13, and Gupta 2011 redshift if none was found before

SNID	objid	ra	dec	PetroRad_r	u	g	r	i	z	err_u	err_g	err_r	err_i	err_z	redshift
		degree	degree	arcsec	mag	mag	mag	mag	mag	mag	mag	mag	mag	mag	
15504	1237656906348822895	345.701396981	-0.876867995123	2.913858	22.75106	20.59947	19.38625	18.851	18.42542	0.6391396	0.04530062	0.02321585	0.0223921	0.05664055	0.2698182
15508	1237666407380549827	27.1694726909	-0.575758117441	5.398664	20.59012	19.40743	18.87566	18.55239	18.31341	0.1926282	0.02559448	0.02513641	0.02796434	0.08120877	0.1346457
15583	1237678617434325666	37.7310825777	0.946246212683	1.664679	23.72066	22.1059	21.27591	21.07705	20.62773	0.7437833	0.09829722	0.0654166	0.0853598	0.2047646	0.6809462
15648	1237663543138845573	313.718799031	-0.195816658847	3.777461	21.25633	19.019	17.70221	17.15433	16.75867	0.1734672	0.01332061	0.007726015	0.007242851	0.01753072	0.1750174
15704	1237657587097731442	40.2121247649	0.659823047504	1.912145	23.21659	21.33464	20.15233	19.6263	19.22649	0.5989652	0.05980885	0.0296033	0.02820366	0.066259	0.3706123
15776	1237680000914228021	32.8302938273	-0.998102718998	2.306511	23.14426	21.00639	19.41827	18.82437	18.46391	0.8009404	0.04814964	0.01899451	0.01771959	0.04554904	0.305
15872	1237663783676609084	36.7223886724	-0.32784976199	1.460481	22.92706	21.56108	20.83319	20.50521	20.34029	0.3545935	0.05616113	0.04396787	0.04631618	0.1539067	0.2064652
15897	1237657189836587309	11.6815976116	-1.03249057577	1.889643	21.96253	20.1889	18.88095	18.39968	17.99728	0.2382974	0.02489079	0.01277073	0.01209082	0.0281609	0.174905
15901	1237666407382647396	31.9763074546	-0.535345761852	3.909087	22.22333	20.62304	19.94256	19.5742	19.63536	0.5031905	0.04958784	0.04649368	0.0465816	0.1794566	0.2048369
16000	1237663784206664143	21.115284114	0.076291496	0.8289146	21.74073	21.08399	22.16553	21.98439	19.93372	0.7235602	0.1813568	0.7602929	0.9482993	0.6072462	0.39
16072	1237657189832851840	3.12457199168	-0.977832428796	2.425387	23.13761	21.2374	19.72687	19.16844	18.80753	0.6487933	0.06199798	0.02515444	0.02250619	0.05811596	0.2858861
16073	1237663782590349551	8.10767400848	-1.05390438816	2.239065	21.16495	20.3121	19.8151	19.45468	19.14653	0.1110927	0.03051502	0.02780641	0.0270719	0.0706811	0.1547316
16099	1237663782598345186	26.4212411707	-1.05458958753	4.104086	21.46013	20.1729	19.16602	18.7595	18.37184	0.1978607	0.03508463	0.02096479	0.02149524	0.05128407	0.1969484
16100	1237657069549847028	30.436329741	-1.032374812	0.8264415	26.1711	22.81351	22.2105	21.65281	21.74877	0.44904	0.1590817	0.1220144	0.1156779	0.4859869	0.195
16106	1237656567046865253	332.089891876	-1.1482891103	2.025374	21.49208	19.97534	18.76128	18.26247	17.97289	0.1751886	0.0232361	0.01192294	0.0114012	0.03070125	0.2512
