This is the global photometry for the host galaxies of many SDSS-II SN
From DR12 via astroquery 0.3.4, by hand on SkyServer DR13, and Gupta 2011 redshift if none was found before

SNID	objid	ra	dec	PetroRad_r	u	g	r	i	z	err_u	err_g	err_r	err_i	err_z	redshift
		degree	degree	arcsec	mag	mag	mag	mag	mag	mag	mag	mag	mag	mag	
13578	1237663204921770853	17.3949402399	0.704421064449	2.726525	22.58906	22.41934	21.48266	21.52456	23.87997	0.5622705	0.2238553	0.1562843	0.2604048	1.035069	0.229
13641	1237656906348626641	345.217532752	-0.982017167448	1.582126	23.25079	23.19208	21.99278	21.93203	22.95232	0.6266543	0.2772287	0.1354893	0.2014007	0.982727	0.2193
13736	1237678617407717964	336.832664208	1.03070919535	3.091004	22.15837	20.78008	20.12383	19.77771	19.5017	0.33219	0.05075973	0.04100156	0.0434825	0.1182988	0.1502249
13796	1237663277923696964	350.691969486	0.532310737916	3.786413	20.97786	19.44396	18.73966	18.35888	18.09249	0.1487128	0.02394817	0.0175097	0.01875383	0.0614935	0.1487143
13835	1237663783663173820	6.05936057287	-0.249264858757	2.362503	21.02521	19.8972	19.11059	18.75953	18.53964	0.1047641	0.02115614	0.01631976	0.0174176	0.05195888	0.2475327
13894	1237657190905938467	1.69061106369	-0.0367694128763	4.071753	22.44878	21.61566	20.83446	20.39929	19.98907	0.3099657	0.06650063	0.0508619	0.05089806	0.1334747	0.1249
13934	1237666407360824125	342.110451803	-0.435146572211	2.796969	22.40778	21.4748	20.14827	19.65055	19.38277	0.4919752	0.08072364	0.0396452	0.03645657	0.1020337	0.330954
14019	1237656567576987170	316.642394072	-0.648632110122	3.383583	21.42063	20.47355	19.75408	19.65591	19.69707	0.3956934	0.0721272	0.05668065	0.07868482	0.3072679	0.2164
14108	1237663237129896756	53.5947035925	-1.12302298216	1.427725	23.4573	23.28805	22.26128	22.08857	21.21852	0.622083	0.2810609	0.155158	0.2006017	0.3453501	0.133
14212	1237678595930063495	330.47066807	1.0444771765	2.221291	22.35332	21.09521	20.01686	19.54908	19.06856	0.3659399	0.05093682	0.02829853	0.02791855	0.06461626	0.2054
14261	1237663543682073622	328.240401556	0.253680539622	1.012447	23.25294	22.27727	21.98644	21.62807	22.75964	0.4893208	0.08866981	0.1107067	0.1193252	0.7908602	0.858692
14331	1237657190908690822	7.88905047746	-0.135587839852	2.726164	22.16237	20.86697	20.42788	20.02896	19.8022	0.3436842	0.04933864	0.05186138	0.05420905	0.1650248	0.2211987
14397	1237678433791181425	6.9156010166	0.649316615647	2.609103	21.58327	20.8145	19.84802	19.58423	19.26284	0.1958584	0.04718374	0.02843835	0.03293592	0.09339499	0.3866015
14437	1237656567046865251	332.080943683	-1.19630544959	1.380421	23.71851	21.16519	20.19045	19.60637	19.30037	0.8508152	0.04865295	0.02794798	0.0248161	0.0750685	0.1492953
14456	1237656909032260002	343.550985701	1.05088725201	2.893413	24.74674	22.03653	20.6788	19.91983	19.21922	1.650855	0.1245974	0.05801279	0.04778749	0.09512378	0.3296466
